iter	R2	RMSE
0	0.05376208126	0.785553586
1	0.1025756637	0.7650231246
2	0.1468403895	0.7459174812
3	0.1860124105	0.7285922265
4	0.2224733305	0.7120873797
5	0.2546428437	0.6972007642
6	0.2847140833	0.6829917831
7	0.3111852534	0.6702346244
8	0.3356023041	0.6582482308
9	0.3583086088	0.6469023788
10	0.3778921957	0.6369545825
11	0.3966601886	0.6272730561
12	0.4135509089	0.618430358
13	0.4285308337	0.6104808471
14	0.4424804117	0.602983887
15	0.4549610347	0.5961964935
16	0.4664420338	0.5898837682
17	0.4770361767	0.5839981417
18	0.4865180505	0.5786796796
19	0.4950046517	0.5738776755
20	0.5043018066	0.5685704829
21	0.5127273964	0.5637176578
22	0.5204276923	0.5592457474
23	0.5278857582	0.5548801546
24	0.5339654628	0.5512958117
25	0.5402034971	0.5475937386
26	0.5459904878	0.5441368244
27	0.550950636	0.5411562573
28	0.5556590802	0.538311672
29	0.5598446471	0.5357703005
30	0.5638586026	0.5333217519
31	0.5677344377	0.5309467423
32	0.5709217962	0.5289856228
33	0.5738199953	0.5271960851
34	0.5764488213	0.5255676059
35	0.5790911689	0.5239256496
36	0.5813384383	0.5225251351
37	0.583582142	0.5211230878
38	0.5857825321	0.5197444331
39	0.5875167513	0.5186552756
40	0.589485412	0.517416101
41	0.591033062	0.5164398444
42	0.5927605278	0.5153479759
43	0.5940464944	0.5145336586
44	0.5954349932	0.513652965
45	0.5967377287	0.5128252939
46	0.5979826202	0.512033123
47	0.5992357134	0.5112344933
48	0.6002541997	0.5105844646
49	0.6012718371	0.5099341502
50	0.6022861724	0.5092851196
51	0.6033245186	0.5086198675
52	0.6042446304	0.5080296384
53	0.6051841226	0.5074262688
54	0.6059287383	0.5069475445
55	0.6066773879	0.5064657707
56	0.6074176016	0.5059889744
57	0.6081265567	0.5055318913
58	0.6087362295	0.5051384876
59	0.6096080294	0.5045754079
60	0.6102849148	0.5041377864
61	0.6108500488	0.5037721234
62	0.6116070369	0.5032819073
63	0.6123727067	0.5027855828
64	0.6128567087	0.5024715889
65	0.6133138827	0.5021748192
66	0.6138587774	0.5018208773
67	0.6144266577	0.501451739
68	0.61504119	0.5010519691
69	0.6154485579	0.5007867895
70	0.6159196479	0.5004799541
71	0.6165613394	0.5000616979
72	0.6170162342	0.4997649842
73	0.6176112374	0.4993766162
74	0.6179876023	0.4991308007
75	0.6186580812	0.4986925903
76	0.6193288078	0.4982538324
77	0.6197740394	0.4979623692
78	0.6203445366	0.4975886536
79	0.62078724	0.4972984583
80	0.621458097	0.4968583836
81	0.6219722572	0.4965208364
82	0.62227903	0.4963193299
83	0.6225841703	0.4961188147
84	0.6229386167	0.4958857974
85	0.6233951824	0.4955854842
86	0.6236781602	0.4953992597
87	0.6240679938	0.4951426
88	0.6244733912	0.4948755522
89	0.6249276221	0.4945761649
90	0.6252694294	0.4943507574
91	0.6257283868	0.4940479326
92	0.6259759349	0.4938845207
93	0.6264667568	0.4935603585
94	0.6269874693	0.4932162222
95	0.6275230682	0.4928619968
96	0.6280031828	0.4925442503
97	0.628471403	0.492234178
98	0.6287653481	0.4920394172
99	0.6291726005	0.4917694542
100	0.6294443968	0.491589201
101	0.6298588466	0.4913142139
102	0.6303872513	0.4909633944
103	0.6307570376	0.490717736
104	0.6310434885	0.4905273549
105	0.6313750005	0.4903069329
106	0.631720564	0.4900770625
107	0.6320068108	0.4898865682
108	0.6323276302	0.4896729782
109	0.6326444182	0.4894619806
110	0.6328999929	0.489291688
111	0.6332859753	0.4890343908
112	0.6336963625	0.4887606766
113	0.6340839172	0.4885020501
114	0.6344145678	0.4882812891
115	0.6347118471	0.4880827235
116	0.6350398784	0.4878635234
117	0.6352201639	0.4877430095
118	0.6354288233	0.4876034914
119	0.6355120415	0.4875478372
120	0.6358408156	0.4873278996
121	0.6362129961	0.4870788048
122	0.6365500615	0.486853102
123	0.6367447478	0.4867226903
124	0.6371155027	0.4864742412
125	0.6375060047	0.4862124219
126	0.6379290574	0.4859286192
127	0.6382400441	0.4857198897
128	0.6384267352	0.4855945423
129	0.6386301806	0.485457909
130	0.6387757798	0.4853601015
131	0.6391459196	0.485111368
132	0.6396093606	0.4847997563
133	0.6400241755	0.4845206702
134	0.6403277958	0.4843162934
135	0.6404705722	0.4842201562
136	0.6406877759	0.4840738673
137	0.6409973419	0.4838652951
138	0.6411588926	0.4837564135
139	0.6415000079	0.4835264288
140	0.6417846294	0.4833344492
141	0.6420578634	0.4831500789
142	0.6424329856	0.4828968426
143	0.6426933753	0.4827209815
144	0.642870276	0.4826014704
145	0.6430811246	0.4824589859
146	0.6432127556	0.4823700127
147	0.6435705447	0.4821280898
148	0.6437822448	0.4819848893
149	0.6441006747	0.4817694134
150	0.6443220769	0.4816195376
151	0.6445795672	0.4814451736
152	0.6448886137	0.4812358141
153	0.6451840194	0.4810356102
154	0.64549211	0.4808267206
155	0.6458152041	0.4806075609
156	0.6459349992	0.4805262766
157	0.6460247529	0.4804653673
158	0.6462500488	0.4803124412
159	0.6463764638	0.480226612
160	0.6465561394	0.4801045953
161	0.6467687202	0.4799601927
162	0.6469567271	0.4798324467
163	0.6471712434	0.4796866465
164	0.6474939089	0.4794672572
165	0.6478838459	0.479201994
166	0.6481238362	0.4790386624
167	0.6482763497	0.4789348363
168	0.6485190219	0.478769587
169	0.6488130836	0.4785692671
170	0.6490315631	0.4784203808
171	0.649207828	0.4783002285
172	0.649519779	0.4780875108
173	0.6497338419	0.4779414877
174	0.6499931712	0.4777645263
175	0.6500937036	0.4776959073
176	0.6504949146	0.4774219598
177	0.6506543278	0.4773130687
178	0.6507959584	0.4772163036
179	0.6509530144	0.4771089764
180	0.6510844184	0.4770191606
181	0.6512259663	0.4769223923
182	0.6515294102	0.4767148787
183	0.6517100742	0.4765912866
184	0.6520432315	0.4763632901
185	0.6523337631	0.4761643753
186	0.6525923314	0.4759872745
187	0.6527314669	0.4758919494
188	0.6529420397	0.4757476445
189	0.6531191804	0.4756262166
190	0.6533903081	0.4754403017
191	0.6535706409	0.4753166054
192	0.653700865	0.4752272604
193	0.6538524748	0.4751232217
194	0.6541059765	0.4749492112
195	0.6543928088	0.4747522448
196	0.6545130674	0.4746696394
197	0.6547367296	0.4745159682
198	0.6549365763	0.4743786176
199	0.6550433607	0.4743052106
200	0.6552435043	0.4741675949
201	0.6555257837	0.4739734359
202	0.6557832954	0.4737962433
203	0.6560765002	0.4735944098
204	0.6561179175	0.4735658924
205	0.6563887044	0.4733794031
206	0.6566184981	0.4732210879
207	0.6569265695	0.4730087605
208	0.6570771185	0.4729049651
209	0.657308063	0.4727456973
210	0.6576265076	0.4725259981
211	0.6579288968	0.4723172811
212	0.6580523632	0.4722320348
213	0.6582451097	0.472098924
214	0.6585768232	0.4718697544
215	0.6587462449	0.4717526638
216	0.6589522208	0.4716102707
217	0.6590955944	0.4715111298
218	0.6593317772	0.4713477672
219	0.6595243844	0.4712145029
220	0.659841888	0.4709947409
221	0.6600740305	0.4708339971
222	0.6603996218	0.4706084537
223	0.6605729756	0.470488324
224	0.6607703953	0.4703514799
225	0.6610688127	0.4701445523
226	0.6611495874	0.4700885261
227	0.6612988802	0.4699849574
228	0.6614658512	0.4698690978
229	0.6616080694	0.4697703915
230	0.661787658	0.4696457186
231	0.6619279232	0.4695483215
232	0.6621560271	0.4693898881
233	0.6623573981	0.4692499779
234	0.6625369789	0.4691251721
235	0.6627249089	0.4689945282
236	0.6629147845	0.4688624948
237	0.6631411985	0.4687050051
238	0.6633256645	0.4685766547
239	0.6635530998	0.468418358
240	0.6638354652	0.468221755
241	0.6639762375	0.4681237085
242	0.6641520188	0.4680012496
243	0.6644231537	0.4678122994
244	0.6647252606	0.4676016753
245	0.6650205048	0.4673957441
246	0.6651619546	0.4672970515
247	0.6653696274	0.4671521158
248	0.6655835317	0.4670027841
249	0.6658714019	0.4668017397
250	0.6659531233	0.4667446509
251	0.6663754523	0.4664495094
252	0.6664701507	0.4663833046
253	0.6666892062	0.466230124
254	0.667003719	0.4660101042
255	0.6672188361	0.4658595575
256	0.6675018593	0.4656614136
257	0.6676998778	0.4655227312
258	0.6679147009	0.4653722329
259	0.6680619929	0.4652690166
260	0.6681873859	0.4651811282
261	0.6682800269	0.4651161851
262	0.6684974547	0.4649637286
263	0.6687977017	0.4647531185
264	0.6690409208	0.4645824409
265	0.6693233778	0.4643841497
266	0.6694373593	0.4643041081
267	0.6694901598	0.4642670252
268	0.6696279278	0.4641702538
269	0.6697582528	0.4640786919
270	0.6699912292	0.4639149657
271	0.6700583143	0.4638678103
272	0.6702031534	0.4637659839
273	0.670301539	0.463696803
274	0.6705567221	0.46351732
275	0.6708839449	0.4632870663
276	0.6711190248	0.4631215792
277	0.6712215194	0.4630494084
278	0.6714829848	0.4628652488
279	0.6715463829	0.4628205841
280	0.6717875701	0.4626506257
281	0.6720546396	0.4624623559
282	0.6721929792	0.4623648036
283	0.6723971482	0.4622207932
284	0.6725182063	0.4621353838
285	0.672747762	0.4619733833
286	0.672990347	0.4618021261
287	0.6730754748	0.4617420136
288	0.6733184126	0.4615704213
289	0.6733851534	0.4615232697
290	0.6735760249	0.4613883944
291	0.6738033504	0.4612277083
292	0.67400513	0.4610850325
293	0.6741930629	0.4609521078
294	0.6744042105	0.4608027176
295	0.6745422657	0.4607050153
296	0.6746915336	0.4605993543
297	0.6749341658	0.4604275526
298	0.6750867595	0.4603194721
299	0.6752421841	0.4602093604
300	0.675337324	0.4601419447
301	0.6755462454	0.4599938695
302	0.675711511	0.4598767021
303	0.6759682562	0.4596946196
304	0.6761629861	0.4595564699
305	0.6762496846	0.459494949
306	0.6763820681	0.4594009942
307	0.6764927675	0.4593224142
308	0.6765630117	0.4592725445
309	0.6766560602	0.4592064764
310	0.676866471	0.4590570415
311	0.677003433	0.4589597442
312	0.6772124995	0.4588111844
313	0.6773697587	0.4586994064
314	0.6774300119	0.458656572
315	0.6776009834	0.4585350052
316	0.6776936335	0.4584691142
317	0.6779068949	0.4583174108
318	0.6781867444	0.4581182637
319	0.6784495771	0.4579311474
320	0.6785703343	0.4578451521
321	0.6787310803	0.4577306543
322	0.678849364	0.4576463836
323	0.6789403816	0.457581528
324	0.6789813656	0.4575523214
325	0.6793503126	0.4572893132
326	0.6795324613	0.4571594106
327	0.6796746185	0.4570580029
328	0.679794451	0.4569725031
329	0.6798988103	0.4568980303
330	0.6799935037	0.4568304447
331	0.6802907062	0.4566182574
332	0.6804905133	0.4564755498
333	0.6807825453	0.4562668926
334	0.6808913623	0.4561891183
335	0.6810736155	0.4560588276
336	0.6811946463	0.4559722835
337	0.6812742364	0.4559153629
338	0.6813897499	0.4558327384
339	0.6814909482	0.4557603408
340	0.6816413721	0.455652706
341	0.6816840723	0.4556221476
342	0.6817487224	0.4555758767
343	0.6819260255	0.4554489545
344	0.6820586978	0.4553539581
345	0.6822123975	0.4552438808
346	0.6824447484	0.4550774243
347	0.6824962161	0.4550405445
348	0.682652757	0.4549283549
349	0.6828285724	0.4548023187
350	0.6829812858	0.4546928152
351	0.68302494	0.454661508
352	0.6832111838	0.4545279165
353	0.6833268571	0.454444925
354	0.6834887242	0.4543287657
355	0.6836289499	0.4542281126
356	0.6838113992	0.4540971185
357	0.6839027471	0.4540315187
358	0.6839892193	0.4539694115
359	0.6841119488	0.4538812486
360	0.684172135	0.4538380075
361	0.6842545885	0.4537787617
362	0.6844243133	0.4536567839
363	0.6847929545	0.4533917358
364	0.6848856032	0.4533250983
365	0.6850447134	0.4532106355
366	0.6851660727	0.453123311
367	0.6851970314	0.4531010319
368	0.6853291428	0.4530059468
369	0.6854329977	0.452931185
370	0.6854930718	0.4528879339
371	0.685606401	0.4528063299
372	0.6859299896	0.4525732451
373	0.6860501877	0.4524866345
374	0.686091141	0.4524571211
375	0.6862332521	0.4523546926
376	0.6863840246	0.4522459958
377	0.6865241583	0.4521449455
378	0.6865824298	0.4521029193
379	0.6867905243	0.4519528069
380	0.6869190814	0.4518600451
381	0.6870663893	0.4517537302
382	0.687249086	0.4516218396
383	0.6873524673	0.4515471906
384	0.6874244464	0.451495209
385	0.6876490984	0.4513329322
386	0.6877654614	0.4512488547
387	0.6879207397	0.4511366348
388	0.6881164134	0.4509951812
389	0.6884508121	0.45075334
390	0.6885770174	0.450662033
391	0.6886602116	0.4506018336
392	0.6887568211	0.4505319167
393	0.6890392499	0.4503274591
394	0.6892189034	0.4501973549
395	0.6893194163	0.4501245476
396	0.6895151301	0.4499827468
397	0.6895947077	0.4499250777
398	0.689656043	0.4498806234
399	0.6897435708	0.449817178
400	0.6898832811	0.4497158889
401	0.6900039172	0.4496284101
402	0.6901133654	0.4495490295
403	0.6902474006	0.4494517973
404	0.6903326295	0.4493899594
405	0.6905089863	0.4492619765
406	0.6905959162	0.4491988777
407	0.6907296007	0.4491018243
408	0.6909093234	0.4489713147
409	0.6911107653	0.4488249881
410	0.6912191993	0.4487462023
411	0.6912640714	0.4487135952
412	0.6914383754	0.4485869115
413	0.6916011875	0.4484685477
414	0.6917563537	0.4483557134
415	0.6918351525	0.4482984014
416	0.6919992563	0.4481790216
417	0.6922709088	0.4479813341
418	0.6923053976	0.4479562297
419	0.6923972666	0.4478893511
420	0.6925877867	0.4477506248
421	0.6927711301	0.4476170836
422	0.6929448829	0.4474904912
423	0.6931098596	0.4473702596
424	0.6933180071	0.44721852
425	0.6935005055	0.4470854362
426	0.6936102538	0.4470053851
427	0.6938540071	0.4468275385
428	0.6939751324	0.4467391371
429	0.6940463724	0.4466871355
430	0.6940989626	0.4466487435
431	0.6942865256	0.4465117913
432	0.6944307681	0.4464064417
433	0.694508256	0.446349837
434	0.6945809662	0.446296716
435	0.694746349	0.4461758659
436	0.694882544	0.4460763197
437	0.6949235914	0.4460463134
438	0.6951261565	0.4458982056
439	0.6952153287	0.4458329906
440	0.6954353532	0.4456720378
441	0.6954896516	0.4456323085
442	0.6955885425	0.4455599422
443	0.6957340331	0.4454534539
444	0.6958120766	0.4453963213
445	0.6959242461	0.4453141936
446	0.6961380417	0.445157616
447	0.6961785788	0.4451279215
448	0.6962395798	0.4450832331
449	0.6962933138	0.4450438647
450	0.696393937	0.4449701332
451	0.6964586272	0.4449227252
452	0.6965074499	0.4448869423
453	0.6966402118	0.4447896243
454	0.6968152505	0.444661284
455	0.6968933862	0.444603982
456	0.6970909018	0.4444590981
457	0.6972257896	0.4443601266
458	0.6973074509	0.4443001983
459	0.6975918237	0.4440914442
460	0.6976678187	0.4440356408
461	0.6977978762	0.4439401227
462	0.6979046453	0.443861693
463	0.6979549287	0.4438247513
464	0.6981348935	0.4436925115
465	0.6982925334	0.4435766439
466	0.6983576128	0.4435288008
467	0.6984852349	0.4434349644
468	0.6985985925	0.4433515996
469	0.6987912705	0.4432098654
470	0.6988771178	0.4431467014
471	0.698923206	0.4431127874
472	0.6990156468	0.4430447568
473	0.699106117	0.4429781663
474	0.6991694471	0.4429315463
475	0.6992871964	0.4428448531
476	0.6993785293	0.4427775972
477	0.699484604	0.442699473
478	0.6995587547	0.4426448527
479	0.6996828239	0.4425534467
480	0.6997805357	0.4424814458
481	0.699998971	0.442320445
482	0.7000940702	0.4422503325
483	0.7002229137	0.442155324
484	0.7003072627	0.4420931145
485	0.7004536567	0.4419851244
486	0.7005430769	0.441919149
487	0.7006071979	0.4418718337
488	0.7007949624	0.4417332518
489	0.7009221928	0.4416393231
490	0.7009607486	0.4416108551
491	0.7010743589	0.4415269592
492	0.7011769612	0.4414511786
493	0.7012686221	0.4413834681
494	0.7013688935	0.441309385
495	0.7015280018	0.4411918063
496	0.7017046459	0.4410612321
497	0.7018881345	0.4409255576
498	0.7019696176	0.4408652943
499	0.7021138142	0.440758629
500	0.7021795084	0.440710025
501	0.702250553	0.4406574566
502	0.7023744897	0.4405657363
503	0.7024241914	0.4405289488
504	0.7024930204	0.440477999
505	0.7025409572	0.4404425108
506	0.7026447906	0.4403656319
507	0.7027249798	0.4403062502
508	0.7028063619	0.4402459768
509	0.7029602822	0.4401319576
510	0.703034547	0.4400769341
511	0.7031361839	0.4400016191
512	0.7032419073	0.4399232623
513	0.7033641544	0.4398326415
514	0.7034042885	0.4398028864
515	0.703633576	0.4396328556
516	0.7037305651	0.4395609124
517	0.70381502	0.4394982571
518	0.7039184575	0.4394215068
519	0.7040432953	0.4393288597
520	0.7041294673	0.4392648966
521	0.7041667539	0.439237217
522	0.7042636215	0.4391652992
523	0.7044042747	0.4390608525
524	0.7044765111	0.4390072014
525	0.7045349557	0.4389637888
526	0.7047045698	0.4388377753
527	0.7047599815	0.4387965998
528	0.7048483973	0.4387308915
529	0.7048811218	0.438706569
530	0.7049485699	0.4386564339
531	0.7050490395	0.4385817429
532	0.7051346456	0.4385180916
533	0.7052546666	0.438428836
534	0.7053048919	0.4383914798
535	0.7055653792	0.4381976852
536	0.7056486313	0.4381357301
537	0.7056691091	0.4381204894
538	0.7057447118	0.4380642174
539	0.7058928759	0.4379539159
540	0.7060463585	0.4378396258
541	0.7061520274	0.4377609226
542	0.7062821418	0.4376639927
543	0.7063478696	0.43761502
544	0.7065102632	0.4374939998
545	0.7066027474	0.437425063
546	0.706708071	0.4373465426
547	0.7067933031	0.4372829905
548	0.7068911151	0.4372100469
549	0.706947279	0.437168157
550	0.7069901442	0.4371361833
551	0.7070472553	0.4370935797
552	0.7072076147	0.436973933
553	0.7072356876	0.4369529839
554	0.7073008391	0.4369043617
555	0.7073856131	0.4368410871
556	0.7074539592	0.4367900675
557	0.7075399426	0.4367258735
558	0.707597537	0.436682869
559	0.7076360479	0.4366541113
560	0.7077223167	0.4365896841
561	0.7077968509	0.4365340128
562	0.7078861705	0.4364672886
563	0.7079743425	0.4364014118
564	0.7080200258	0.436367276
565	0.7081274098	0.4362870254
566	0.7081511594	0.4362692747
567	0.7082185392	0.4362189105
568	0.7083347427	0.4361320387
569	0.7084033544	0.4360807375
570	0.7084650388	0.4360346108
571	0.708619812	0.4359188521
572	0.708649381	0.4358967332
573	0.7087019559	0.4358574021
574	0.7087284134	0.435837608
575	0.7088432076	0.4357517147
576	0.7089090746	0.4357024229
577	0.70896117	0.4356634332
578	0.7090452186	0.4356005214
579	0.7092108784	0.4354764957
580	0.709232776	0.4354600988
581	0.7092619712	0.4354382365
582	0.7093232065	0.4353923781
583	0.7093914622	0.4353412564
584	0.7094914197	0.4352663802
585	0.709604442	0.4351817018
586	0.7096699279	0.435132631
587	0.7096958393	0.4351132132
588	0.7097752904	0.4350536677
589	0.7098538418	0.4349947885
590	0.7099655435	0.4349110474
591	0.7100791073	0.4348258938
592	0.710143252	0.4347777887
593	0.7102265814	0.4347152882
594	0.7102868729	0.4346700615
595	0.710369993	0.4346077025
596	0.7105212716	0.4344941863
597	0.7105983499	0.4344363369
598	0.7106660574	0.4343855143
599	0.7107104438	0.4343521937
600	0.7107926299	0.4342904904
601	0.7108870312	0.4342196054
602	0.7109441582	0.4341767037
603	0.7110047186	0.4341312189
604	0.711117885	0.4340462108
605	0.7111438523	0.4340267024
606	0.7112070784	0.4339791989
607	0.7112404233	0.4339541439
608	0.7112949658	0.4339131582
609	0.7115017941	0.4337577027
610	0.7115561236	0.4337168585
611	0.7115858298	0.4336945241
612	0.7116573895	0.4336407179
613	0.7117475217	0.4335729373
614	0.7117766031	0.4335510654
615	0.711863153	0.4334859656
616	0.7119174968	0.433445085
617	0.7120116086	0.4333742796
618	0.7120806081	0.4333223601
619	0.7122989055	0.4331580587
620	0.7124233247	0.4330643869
621	0.7125600377	0.432961436
622	0.7126232142	0.432913853
623	0.7126831125	0.4328687342
624	0.7127292102	0.4328340077
625	0.7128254166	0.432761524
626	0.7128760324	0.4327233842
627	0.7129599629	0.432660134
628	0.7130030168	0.4326276848
629	0.7131361848	0.4325273025
630	0.7131808076	0.4324936605
631	0.7132161749	0.4324669946
632	0.7133369505	0.4323759208
633	0.7134628282	0.4322809793
634	0.7135542532	0.4322120102
635	0.7136145892	0.4321664879
636	0.7136991141	0.4321027076
637	0.7137608638	0.4320561068
638	0.7138344409	0.4320005737
639	0.7139677514	0.4318999381
640	0.7139815388	0.4318895287
641	0.7141701032	0.4317471386
642	0.7142534786	0.4316841645
643	0.7144206726	0.4315578541
644	0.7144930387	0.4315031719
645	0.7146286448	0.4314006851
646	0.7146812089	0.4313609523
647	0.7147823575	0.4312844845
648	0.7148019628	0.4312696614
649	0.7150412006	0.4310887386
650	0.7151046314	0.4310407565
651	0.715129496	0.4310219463
652	0.7152204511	0.4309531312
653	0.7152916414	0.4308992621
654	0.7153992375	0.4308178324
655	0.7155087695	0.4307349217
656	0.7155903085	0.4306731901
657	0.7156873042	0.430599745
658	0.7157356792	0.4305631108
659	0.7158677308	0.4304630926
660	0.7158930336	0.4304439253
661	0.7159574673	0.4303951115
662	0.7160169105	0.4303500735
663	0.7160593555	0.4303179116
664	0.7160944914	0.4302912862
665	0.7161923417	0.4302171281
666	0.716281645	0.4301494364
667	0.7163883923	0.4300685083
668	0.716513483	0.4299736541
669	0.7166647717	0.4298589064
670	0.7167955031	0.4297597261
671	0.716976035	0.4296227266
672	0.7170541311	0.4295634487
673	0.7170985134	0.4295297572
674	0.7172709725	0.4293988147
675	0.7173792476	0.4293165847
676	0.7174007306	0.4293002674
677	0.7174910906	0.4292316284
678	0.7176199974	0.4291336896
679	0.7177522077	0.4290332176
680	0.7178008638	0.4289962359
681	0.7178470252	0.4289611475
682	0.717951931	0.4288813952
683	0.71801869	0.4288306354
684	0.7181339646	0.428742973
685	0.7182746744	0.4286359437
686	0.7183531786	0.4285762187
687	0.7184049241	0.4285368469
688	0.7184729979	0.4284850457
689	0.718537823	0.4284357109
690	0.7185994491	0.4283888053
691	0.7187254712	0.42829287
692	0.7187782775	0.4282526644
693	0.718830749	0.42821271
694	0.7188786673	0.4281762193
695	0.7190159278	0.4280716758
696	0.7190456912	0.4280490033
697	0.7191174978	0.4279942992
698	0.7191864818	0.4279417388
699	0.7192699642	0.4278781232
700	0.7193165931	0.4278425867
701	0.719436033	0.4277515466
702	0.7194455263	0.4277443097
703	0.7195407044	0.4276717474
704	0.7195768637	0.4276441769
705	0.7196094761	0.4276193093
706	0.7196959977	0.4275533279
707	0.7197322404	0.4275256861
708	0.7197860865	0.4274846152
709	0.7198328753	0.427448924
710	0.7198731362	0.42741821
711	0.719914327	0.4273867844
712	0.7199411347	0.4273663308
713	0.7199944465	0.4273256522
714	0.7201289544	0.4272230015
715	0.7202257491	0.4271491165
716	0.7203133318	0.4270822523
717	0.7203522893	0.4270525071
718	0.7203542062	0.4270510435
719	0.7204707742	0.4269620279
720	0.7205562146	0.4268967707
721	0.7205814137	0.4268775223
722	0.7206956422	0.426790258
723	0.7207220668	0.4267700685
724	0.7207703174	0.4267332005
725	0.7208079746	0.4267044247
726	0.7209794752	0.4265733477
727	0.721110098	0.4264734864
728	0.7211710938	0.426426847
729	0.721283658	0.4263407633
730	0.7212879381	0.4263374897
731	0.7213642334	0.4262791324
732	0.7215339564	0.4261492848
733	0.7216391374	0.4260687955
734	0.7216916232	0.4260286254
735	0.7217489481	0.4259847473
736	0.7218046973	0.4259420709
737	0.7218727161	0.4258899962
738	0.7219994087	0.4257929844
739	0.7220928895	0.4257213896
740	0.722150258	0.4256774464
741	0.7222118383	0.425630272
742	0.7222805573	0.4255776227
743	0.7223252404	0.4255433851
744	0.7223788815	0.42550228
745	0.7224209115	0.4254700696
746	0.7224457727	0.4254510156
747	0.7224989473	0.4254102592
748	0.7226180333	0.4253189697
749	0.7226307504	0.4253092199
750	0.7226792273	0.4252720518
751	0.7227413044	0.4252244514
752	0.7228461413	0.425144051
753	0.7228804315	0.4251177502
754	0.7229305167	0.4250793316
755	0.7231155022	0.4249374058
756	0.7231676102	0.4248974186
757	0.7232000961	0.4248724873
758	0.7232869547	0.4248058205
759	0.7234932083	0.4246474722
760	0.7236115254	0.4245566093
761	0.7236927309	0.4244942354
762	0.723705211	0.4244846486
763	0.7237447176	0.4244542996
