iter	Passed	Remaining
0	16	84710
1	28	70719
2	41	68490
3	53	66513
4	64	64039
5	75	62665
6	90	64387
7	103	64350
8	122	67781
9	139	69837
10	157	71345
11	175	73026
12	193	74240
13	211	75277
14	231	76892
15	247	77112
16	269	79104
17	293	81096
18	316	82987
19	340	84677
20	368	87445
21	385	87310
22	400	86678
23	414	85984
24	428	85196
25	440	84356
26	455	83931
27	467	83047
28	481	82560
29	494	81879
30	511	82009
31	526	81734
32	539	81148
33	552	80746
34	565	80285
35	580	80103
36	595	79843
37	607	79335
38	625	79546
39	640	79414
40	656	79447
41	672	79428
42	691	79706
43	709	79929
44	728	80232
45	749	80674
46	769	81050
47	789	81423
48	808	81676
49	826	81799
50	844	81911
51	862	82035
52	880	82161
53	898	82261
54	917	82489
55	933	82455
56	953	82721
57	970	82708
58	991	83003
59	1006	82904
60	1029	83368
61	1056	84140
62	1081	84788
63	1101	84922
64	1121	85131
65	1140	85256
66	1156	85181
67	1174	85169
68	1194	85346
69	1214	85516
70	1232	85562
71	1250	85602
72	1273	85966
73	1291	85983
74	1314	86287
75	1341	86895
76	1364	87266
77	1384	87355
78	1408	87712
79	1430	87988
80	1454	88328
81	1477	88591
82	1493	88481
83	1514	88609
84	1533	88670
85	1552	88700
86	1569	88638
87	1586	88572
88	1611	88920
89	1635	89252
90	1657	89425
91	1687	90027
92	1707	90077
93	1731	90355
94	1756	90680
95	1778	90846
96	1816	91797
97	1859	93002
98	1884	93269
99	1907	93470
100	1935	93878
101	1967	94456
102	1995	94862
103	2019	95092
104	2039	95066
105	2055	94881
106	2076	94974
107	2101	95178
108	2123	95262
109	2143	95283
110	2164	95324
111	2185	95370
112	2210	95607
113	2232	95683
114	2250	95600
115	2277	95892
116	2293	95720
117	2312	95686
118	2338	95907
119	2360	95992
120	2383	96119
121	2400	95960
122	2422	96065
123	2438	95876
124	2456	95816
125	2477	95826
126	2500	95943
127	2524	96103
128	2551	96328
129	2577	96560
130	2598	96584
131	2622	96707
132	2645	96792
133	2666	96840
134	2692	97031
135	2713	97037
136	2729	96896
137	2753	97028
138	2776	97104
139	2797	97120
140	2816	97062
141	2841	97227
142	2860	97150
143	2883	97242
144	2901	97155
145	2923	97205
146	2946	97278
147	2970	97374
148	2985	97192
149	3002	97086
150	3026	97199
151	3046	97179
152	3069	97233
153	3095	97402
154	3114	97361
155	3138	97464
156	3156	97355
157	3175	97324
158	3198	97383
159	3217	97336
160	3246	97576
161	3267	97596
162	3293	97739
163	3317	97832
164	3341	97924
165	3367	98059
166	3392	98168
167	3416	98259
168	3441	98378
169	3462	98365
170	3483	98386
171	3507	98458
172	3529	98476
173	3546	98364
174	3570	98446
175	3587	98323
176	3609	98351
177	3632	98392
178	3651	98341
179	3668	98241
180	3688	98209
181	3705	98084
182	3746	98619
183	3776	98854
184	3804	99011
185	3826	99030
186	3848	99040
187	3870	99061
188	3896	99192
189	3925	99365
190	3952	99520
191	3975	99557
192	3998	99600
193	4024	99699
194	4045	99693
195	4069	99742
196	4092	99787
197	4112	99735
198	4133	99720
199	4153	99681
200	4176	99722
201	4198	99715
202	4223	99808
203	4245	99820
204	4264	99738
205	4291	99872
206	4325	100149
207	4355	100344
208	4379	100400
209	4404	100457
210	4433	100636
211	4458	100697
212	4484	100785
213	4506	100782
214	4532	100882
215	4552	100827
216	4573	100816
217	4592	100744
218	4617	100813
219	4633	100678
220	4654	100649
221	4674	100612
222	4694	100556
223	4718	100595
224	4759	101002
225	4783	101047
226	4807	101092
227	4826	101020
228	4851	101084
229	4866	100933
230	4892	100999
231	4907	100850
232	4929	100857
233	4952	100864
234	4973	100842
235	4995	100848
236	5018	100851
237	5039	100842
238	5056	100727
239	5075	100665
240	5095	100616
241	5122	100723
242	5146	100746
243	5166	100698
244	5189	100727
245	5213	100743
246	5235	100747
247	5259	100772
248	5283	100812
249	5307	100844
250	5328	100825
251	5353	100863
252	5373	100816
253	5396	100842
254	5420	100860
255	5438	100776
256	5458	100741
257	5487	100859
258	5505	100780
259	5525	100736
260	5540	100602
261	5566	100670
262	5588	100663
263	5614	100716
264	5634	100683
265	5658	100710
266	5682	100739
267	5702	100679
268	5726	100710
269	5749	100730
270	5771	100716
