iter	R2	RMSE
0	0.04066438977	0.7785904746
1	0.07847858618	0.7630913298
2	0.1129505709	0.7486825549
3	0.1452405093	0.7349296504
4	0.1731279132	0.722841318
5	0.1993806196	0.7112738674
6	0.224762923	0.6999081829
7	0.2467227563	0.6899239594
8	0.2665230396	0.6807960725
9	0.2854258811	0.6719662249
10	0.3018298135	0.6642085368
11	0.316994425	0.6569554619
12	0.3306743488	0.6503431017
13	0.3444937877	0.64359433
14	0.3573450701	0.6372542273
15	0.3681531481	0.6318728808
16	0.3780168755	0.6269214137
17	0.3879126308	0.621914256
18	0.3966569827	0.6174559057
19	0.4049466993	0.6131994231
20	0.4137151265	0.6086647459
21	0.4211512308	0.6047924493
22	0.4283269254	0.6010321066
23	0.434825651	0.597606104
24	0.4410748077	0.5942930424
25	0.4467607553	0.5912624427
26	0.4523438811	0.5882714552
27	0.4570844678	0.5857198421
28	0.462164439	0.5829731599
29	0.4667713864	0.5804709985
30	0.4711534278	0.5780809397
31	0.4749594107	0.5759970282
32	0.4788207841	0.573875055
33	0.4817563242	0.5722565982
34	0.4849835057	0.5704720517
35	0.4877837182	0.568919072
36	0.4907837392	0.5672505624
37	0.4928444865	0.5661015956
38	0.4959144322	0.5643856139
39	0.4982961277	0.5630507352
40	0.5006919185	0.5617047559
41	0.5037619725	0.5599752397
42	0.5056663998	0.55889969
43	0.5083488562	0.5573812181
44	0.510273579	0.5562891262
45	0.5127661013	0.5548716697
46	0.5147578402	0.5537363923
47	0.5163493254	0.5528275811
48	0.518345091	0.5516857913
49	0.5197649791	0.5508720238
50	0.5210551793	0.5501315393
51	0.5225906832	0.5492489665
52	0.5245889862	0.5480982592
53	0.5261472281	0.5471992785
54	0.5277545819	0.5462704141
55	0.5292972797	0.5453774255
56	0.5306442203	0.5445965534
57	0.5321245117	0.5437370793
58	0.5331909642	0.543117042
59	0.5343505959	0.5424420257
60	0.5355979387	0.5417150143
61	0.5368416796	0.5409891294
62	0.537863867	0.5403918199
63	0.5390651266	0.5396890257
64	0.5398420315	0.5392340114
65	0.541673505	0.5381598396
66	0.5422026418	0.5378490978
67	0.5430590858	0.5373457601
68	0.5444061037	0.5365531537
69	0.545455699	0.5359347429
70	0.5465661267	0.5352797125
71	0.5478860811	0.5345000401
72	0.5489339513	0.533880272
73	0.5500285188	0.5332321153
74	0.5511796062	0.532549639
75	0.552532574	0.5317463484
76	0.5532201073	0.5313376775
77	0.554358413	0.5306603748
78	0.555379809	0.5300518978
79	0.5563752819	0.5294581911
80	0.5571038777	0.5290232294
81	0.5576519709	0.5286957894
82	0.5586536322	0.5280968558
83	0.5592345784	0.5277491732
84	0.5604681322	0.5270101598
85	0.5617151736	0.5262620111
86	0.5624946846	0.5257938115
87	0.5629133688	0.525542164
88	0.5637398249	0.5250450737
89	0.5640701143	0.5248462822
90	0.5644304821	0.5246293014
91	0.5662421912	0.5235370922
92	0.5673782042	0.5228510702
93	0.5681321618	0.5223952685
94	0.5696486596	0.5214772701
95	0.5706464235	0.5208724002
96	0.5709462504	0.5206905002
97	0.5718857457	0.5201201121
98	0.572229782	0.5199110835
99	0.5730498286	0.5194125029
100	0.5735405636	0.5191139117
101	0.573761901	0.5189791811
102	0.5744008893	0.5185900254
103	0.5748504749	0.5183160444
104	0.5753154468	0.5180325343
105	0.5756068583	0.5178547711
106	0.5767966829	0.5171283352
107	0.5771931032	0.5168860779
108	0.5779007695	0.5164533318
109	0.5783488472	0.5161791396
110	0.5785096937	0.5160806772
111	0.5791210736	0.5157062489
112	0.5794624847	0.5154970396
113	0.5804134434	0.5149138647
114	0.5808324426	0.514656704
115	0.5818521196	0.5140303397
116	0.5821937024	0.5138203425
117	0.5823137326	0.5137465303
118	0.5825700909	0.5135888481
119	0.5838981209	0.5127712201
120	0.5844335528	0.5124412018
121	0.585130393	0.5120113795
122	0.5855760921	0.5117362758
123	0.5864502655	0.5111962703
124	0.5868171258	0.5109694787
125	0.5872902672	0.5106768358
126	0.5874400415	0.5105841638
127	0.5876289001	0.5104672848
128	0.5887480149	0.5097741475
129	0.5892773679	0.5094459577
130	0.589605713	0.5092422831
131	0.5897716325	0.5091393312
132	0.5905367271	0.5086643256
133	0.5908305996	0.5084817582
134	0.5910597458	0.5083393564
135	0.5921529878	0.5076594161
136	0.5925691038	0.507400374
137	0.5927993078	0.5072570097
138	0.5929441437	0.5071667894
139	0.5940362221	0.5064860008
140	0.5944853576	0.5062057495
141	0.5948434024	0.5059822257
142	0.5950820327	0.5058331963
143	0.5967339357	0.5048003435
144	0.5976928556	0.5041998079
145	0.5982930886	0.5038235403
146	0.5983412795	0.5037933187
147	0.5987220723	0.5035544513
148	0.599213772	0.5032458454
149	0.5994554359	0.5030941003
150	0.6001660718	0.5026476138
151	0.6012511105	0.5019651272
152	0.6024966105	0.5011805651
153	0.6026548627	0.5010807913
154	0.6028700745	0.5009450742
155	0.6031270397	0.5007829783
156	0.6038960753	0.50029755
157	0.6040214497	0.5002183669
158	0.6043477543	0.5000122229
159	0.6053660635	0.4993683556
160	0.6056204469	0.4992073818
161	0.6060705651	0.4989224197
162	0.6066507154	0.4985548961
163	0.6069065447	0.498392743
164	0.6072267855	0.4981896892
165	0.6072708899	0.4981617176
