iter	Passed	Remaining
0	71	356278
1	78	196356
2	88	147678
3	95	119272
4	102	102876
5	109	91065
6	116	83411
7	123	77203
8	131	72873
9	137	68797
10	145	65947
11	152	63421
12	159	61343
13	165	59116
14	173	57719
15	180	56136
16	188	55248
17	197	54667
18	204	53619
19	211	52779
20	219	52040
21	225	51082
22	233	50620
23	241	50117
24	249	49733
25	258	49394
26	267	49260
27	274	48790
28	283	48604
29	291	48254
30	298	47843
31	306	47605
32	316	47635
33	325	47607
34	335	47587
35	345	47594
36	354	47537
37	363	47493
38	374	47683
39	384	47620
40	393	47642
41	404	47753
42	415	47930
43	426	48030
44	436	48089
45	449	48368
46	459	48468
47	468	48290
48	479	48429
49	489	48492
50	501	48638
51	512	48741
52	523	48851
53	533	48843
54	544	48946
55	556	49099
56	568	49256
57	578	49333
58	590	49493
59	601	49561
60	612	49625
61	622	49609
62	632	49552
63	644	49702
64	654	49670
65	664	49654
66	676	49791
67	687	49862
68	699	49958
69	710	50074
70	722	50151
71	734	50263
72	743	50188
73	754	50213
74	765	50252
75	777	50373
76	789	50454
77	799	50466
78	810	50482
79	821	50544
80	829	50395
81	839	50353
82	850	50399
83	862	50462
84	873	50525
85	886	50646
86	896	50615
87	904	50473
88	915	50505
89	927	50590
90	935	50472
91	948	50608
92	960	50696
93	971	50695
94	982	50751
95	994	50779
96	1005	50840
97	1018	50937
98	1028	50921
99	1038	50865
100	1049	50882
101	1059	50853
102	1068	50823
103	1080	50846
104	1089	50791
105	1099	50777
106	1110	50793
107	1120	50769
108	1130	50730
109	1141	50738
110	1152	50764
111	1164	50820
112	1174	50808
113	1186	50841
114	1198	50925
115	1211	50987
116	1222	51003
117	1233	51036
118	1242	50971
119	1254	51023
120	1266	51074
121	1276	51052
122	1291	51203
123	1302	51222
124	1314	51265
125	1323	51207
126	1332	51124
127	1346	51232
128	1356	51222
129	1367	51243
130	1378	51239
131	1388	51210
132	1401	51270
133	1412	51275
134	1422	51250
135	1433	51280
136	1443	51243
137	1453	51221
138	1466	51269
139	1476	51271
140	1488	51291
141	1500	51317
142	1512	51361
143	1524	51415
144	1537	51482
145	1550	51543
146	1555	51339
147	1565	51326
148	1576	51340
149	1587	51334
150	1599	51351
151	1609	51342
152	1621	51364
153	1628	51239
154	1638	51216
155	1650	51247
156	1662	51272
157	1675	51341
158	1686	51349
159	1697	51343
160	1709	51380
161	1719	51352
162	1731	51375
163	1743	51402
164	1752	51367
165	1759	51244
166	1771	51261
167	1778	51159
168	1788	51124
169	1800	51146
170	1811	51144
171	1822	51155
172	1833	51158
173	1845	51198
174	1856	51177
175	1865	51118
176	1875	51117
177	1885	51070
178	1895	51052
179	1906	51058
180	1918	51078
181	1929	51069
182	1939	51051
183	1950	51050
184	1959	51012
185	1970	50993
186	1979	50953
187	1989	50912
188	2000	50922
189	2012	50944
190	2024	50960
191	2034	50935
192	2047	50986
193	2058	50999
194	2069	51005
195	2079	50974
196	2090	50962
197	2099	50925
198	2109	50903
199	2121	50926
200	2133	50931
201	2146	50984
202	2157	50988
203	2168	50989
204	2179	50981
205	2191	50990
206	2200	50950
207	2211	50958
208	2223	50960
209	2236	51009
210	2248	51029
211	2258	51005
212	2270	51020
213	2281	51016
214	2290	50978
215	2301	50966
216	2310	50927
217	2322	50947
218	2331	50905
219	2342	50896
220	2353	50895
221	2363	50858
222	2374	50855
223	2386	50880
224	2398	50910
225	2410	50919
226	2420	50899
227	2432	50905
228	2443	50905
229	2455	50916
230	2466	50913
231	2477	50907
232	2487	50892
233	2499	50899
234	2512	50953
235	2523	50931
236	2534	50943
237	2546	50958
238	2555	50915
239	2565	50886
240	2576	50883
241	2587	50866
242	2599	50897
243	2609	50858
244	2619	50841
245	2631	50856
246	2643	50860
247	2654	50862
248	2665	50859
249	2676	50852
250	2686	50836
251	2698	50842
252	2710	50851
253	2722	50865
254	2733	50870
255	2745	50874
256	2757	50882
257	2768	50880
258	2778	50859
259	2787	50826
260	2799	50832
261	2811	50841
262	2822	50843
263	2833	50824
264	2842	50791
265	2850	50733
266	2859	50693
267	2870	50682
268	2880	50664
269	2894	50705
270	2907	50737
271	2920	50758
272	2930	50749
273	2940	50721
274	2953	50738
275	2964	50740
276	2973	50703
277	2984	50687
