날짜,상품명,예측수량,주문량_ceil
2025-12-02,(배달)가나슈 도넛,2.873486117228331,3
2025-12-02,(배달)글레이즈 도넛,4.604333243416142,5
2025-12-02,(배달)글레이즈 크론디,4.389435373991156,5
2025-12-02,(배달)누텔라 도넛,2.873486117228331,3
2025-12-02,(배달)딸기 필링 도넛,2.873486117228331,3
2025-12-02,(배달)레몬 필링 도넛,1.4391841559569154,2
2025-12-02,(배달)로스트 코코넛 도넛,1.3107250655313492,2
2025-12-02,(배달)버터크럼 도넛,2.873486117228331,3
2025-12-02,(배달)블루베리 필링 도넛,1.4421070926616084,2
2025-12-02,(배달)슈가 도넛,1.4187208558031743,2
2025-12-02,(배달)스모어 도넛,2.6578584273692427,3
2025-12-02,(배달)스프링 어니언 도넛,1.3304769557631264,2
2025-12-02,(배달)아몬드 브리틀 도넛,2.873486117228331,3
2025-12-02,(배달)애월 녹차 필링 도넛,1.3477170566770105,2
2025-12-02,(배달)애플 프리터,3.3769815427855314,4
2025-12-02,(배달)연유 버터 크림 도넛,2.6578584273692427,3
2025-12-02,(배달)초코 크런치 스트로베리 도넛,2.732091008097213,3
2025-12-02,(배달)초콜릿 도넛,2.873486117228331,3
2025-12-02,(배달)초콜릿 올드패션,3.3769815427855314,4
2025-12-02,(배달)초콜릿 크론디,3.2208789075915165,4
2025-12-02,(배달)카라멜 코코넛 도넛,1.3215473010184284,2
2025-12-02,(배달)커피 크럼 도넛,2.7098558416301985,3
2025-12-02,(배달)코코넛 도넛,2.873486117228331,3
2025-12-02,(배달)크림 사탕 도넛,1.3336167761511408,2
2025-12-02,(배달)텍사스 글레이즈 도넛,6.79411545865246,7
2025-12-02,(배달)피스타치오 크림 도넛,1.7375935113256082,2
2025-12-02,(배달)핑크 스프링클 도넛,2.873486117228331,3
2025-12-02,가나슈 도넛,15.047334262180605,16
2025-12-02,갈릭크림치즈 도넛,17.881249115813986,18
2025-12-02,글레이즈 도넛,43.6092235003048,44
2025-12-02,글레이즈 버터밀크,6.633674992513826,7
2025-12-02,글레이즈 올드패션,10.067895474325265,11
2025-12-02,글레이즈 크론디,17.63728358692553,18
2025-12-02,누텔라 도넛,18.524708368090536,19
2025-12-02,딸기 필링 도넛,13.880485310420436,14
2025-12-02,딸기우유 크림 도넛,23.646569279615804,24
2025-12-02,딸기필링 도넛,11.935111422915433,12
2025-12-02,랜디넛 도넛,15.565012557749883,16
2025-12-02,럭키박스,2.7393307097285464,3
2025-12-02,레몬 필링 도넛,7.9730770758216645,8
2025-12-02,레몬필링 도넛,8.889166320580973,9
2025-12-02,로스트 코코넛 도넛,6.801134087907836,7
2025-12-02,롤링 소시지 도넛,4.125666070258761,5
2025-12-02,메이플 크림 롱존,2.7832868530530126,3
2025-12-02,민트초콜릿 도넛,4.7508815954971,5
2025-12-02,버터크럼 도넛,22.21543828231902,23
2025-12-02,베어 클라우,2.0625078432593944,3
2025-12-02,베이컨 메이플 롱존,3.213608358863392,4
2025-12-02,블루베리 필링 도넛,9.092700944693645,10
2025-12-02,살구벨벳 도넛,8.559246691902711,9
2025-12-02,소보로로쉐 도넛,3.584360441913538,4
2025-12-02,슈가 도넛,6.533024746936922,7
2025-12-02,슈가 크론디,3.3956348326616075,4
2025-12-02,스모어 도넛,11.081439693074806,12
2025-12-02,스프링 어니언 도넛,12.32848048095468,13
2025-12-02,시나몬 롤,3.7738178458620006,4
2025-12-02,아몬드 브리틀 도넛,12.76978878484124,13
2025-12-02,아베크 도넛,7.13230145241527,8
2025-12-02,애월 녹차 필링 도넛,14.780156443275102,15
2025-12-02,애플 프리터,24.50442658470965,25
2025-12-02,얼그레이 크림 앙 젤리 도넛,4.111776152512277,5
2025-12-02,연유 버터 크림 도넛,27.738444357288618,28
2025-12-02,연유 카스텔라 도넛,9.350728002976206,10
2025-12-02,오레오크림치즈도넛,7.601642311108622,8
2025-12-02,오렌지캔디 도넛,10.790630672090762,11
2025-12-02,초코 크런치 스트로베리 도넛,8.872281240383108,9
2025-12-02,초코크런치스트로베리 도넛,6.88075296315737,7
2025-12-02,초콜릿 도넛,10.964484358115914,11
2025-12-02,초콜릿 버터밀크,5.265710035096118,6
2025-12-02,초콜릿 올드패션,12.022278582769234,13
2025-12-02,초콜릿 초코 롱존,3.503388236012377,4
2025-12-02,초콜릿 코코넛 도넛,5.1527806940401915,6
2025-12-02,초콜릿 크론디,7.5550315690364735,8
2025-12-02,카라멜 코코넛 도넛,6.314334013600176,7
2025-12-02,커피 크럼 도넛,25.94824412739614,26
2025-12-02,커피크럼 도넛,11.31666982516228,12
2025-12-02,코코넛 도넛,7.615939593959576,8
2025-12-02,코코라즈베리 도넛,4.18774887833471,5
2025-12-02,콘소메 크런치 트위스트,2.388334770436756,3
2025-12-02,크리스마스 세트,6.529669993314913,7
2025-12-02,크림 사탕 도넛,8.872281240383108,9
2025-12-02,크림사탕도넛,5.494432145345935,6
2025-12-02,타이거 테일,1.8344801512746927,2
2025-12-02,텍사스 글레이즈 도넛,13.556662801520048,14
2025-12-02,푸룬(건자두) 화이트 도넛,6.799742323839871,7
2025-12-02,피스타치오 가나슈 도넛,5.706246661850226,6
2025-12-02,핑크 스프링클 도넛,11.249479299696796,12
2025-12-03,(배달)가나슈 도넛,2.9558463966204966,3
2025-12-03,(배달)글레이즈 도넛,4.583111288707823,5
2025-12-03,(배달)글레이즈 크론디,4.292610727658772,5
2025-12-03,(배달)누텔라 도넛,2.9558463966204966,3
2025-12-03,(배달)딸기 필링 도넛,2.9558463966204966,3
2025-12-03,(배달)레몬 필링 도넛,1.6671715960739126,2
2025-12-03,(배달)로스트 코코넛 도넛,1.3388033791171818,2
2025-12-03,(배달)버터크럼 도넛,2.9558463966204966,3
2025-12-03,(배달)블루베리 필링 도넛,1.69626881426957,2
2025-12-03,(배달)슈가 도넛,1.4002282787744402,2
2025-12-03,(배달)스모어 도넛,2.735633907372947,3
2025-12-03,(배달)스프링 어니언 도넛,1.6188364381860052,2
2025-12-03,(배달)아몬드 브리틀 도넛,2.9558463966204966,3
2025-12-03,(배달)애월 녹차 필링 도넛,1.4242584253485697,2
2025-12-03,(배달)애플 프리터,3.657012505924913,4
2025-12-03,(배달)연유 버터 크림 도넛,2.735633907372947,3
2025-12-03,(배달)초코 크런치 스트로베리 도넛,2.693082431326418,3
2025-12-03,(배달)초콜릿 도넛,2.9558463966204966,3
2025-12-03,(배달)초콜릿 올드패션,3.657012505924913,4
2025-12-03,(배달)초콜릿 크론디,2.9730097604360437,3
2025-12-03,(배달)카라멜 코코넛 도넛,1.6522825780791037,2
2025-12-03,(배달)커피 크럼 도넛,2.8631382811525126,3
2025-12-03,(배달)코코넛 도넛,2.9558463966204966,3
2025-12-03,(배달)크림 사탕 도넛,1.6275529459622442,2
2025-12-03,(배달)텍사스 글레이즈 도넛,6.0600812018198225,7
2025-12-03,(배달)피스타치오 크림 도넛,2.264075549408264,3
2025-12-03,(배달)핑크 스프링클 도넛,2.9558463966204966,3
2025-12-03,가나슈 도넛,15.712863787612068,16
2025-12-03,갈릭크림치즈 도넛,21.30428111727876,22
2025-12-03,글레이즈 도넛,42.08245426359187,43
2025-12-03,글레이즈 버터밀크,6.55112634002892,7
2025-12-03,글레이즈 올드패션,11.97590803348068,12
2025-12-03,글레이즈 크론디,18.38058914520812,19
2025-12-03,누텔라 도넛,18.318690689023683,19
2025-12-03,딸기 필링 도넛,15.982835913771794,16
2025-12-03,딸기우유 크림 도넛,30.146703584683454,31
2025-12-03,딸기필링 도넛,12.0715695937913,13
2025-12-03,랜디넛 도넛,18.56373317161835,19
2025-12-03,럭키박스,3.0585837720899938,4
2025-12-03,레몬 필링 도넛,8.54990035560654,9
2025-12-03,레몬필링 도넛,9.538806530385816,10
2025-12-03,로스트 코코넛 도넛,7.734684760749522,8
2025-12-03,롤링 소시지 도넛,5.342420294304749,6
2025-12-03,메이플 크림 롱존,4.471836624474174,5
2025-12-03,민트초콜릿 도넛,5.652252433671462,6
2025-12-03,버터크럼 도넛,19.579160688351696,20
2025-12-03,베어 클라우,3.2747469255303034,4
2025-12-03,베이컨 메이플 롱존,4.589349660003098,5
2025-12-03,블루베리 필링 도넛,10.48387832201506,11
2025-12-03,살구벨벳 도넛,8.917922796993416,9
2025-12-03,소보로로쉐 도넛,4.261084602063624,5
2025-12-03,슈가 도넛,7.644111660846632,8
2025-12-03,슈가 크론디,4.767236215921959,5
2025-12-03,스모어 도넛,12.229569548045841,13
2025-12-03,스프링 어니언 도넛,12.953984797116236,13
2025-12-03,시나몬 롤,5.887803632477103,6
2025-12-03,아몬드 브리틀 도넛,13.415027760327698,14
2025-12-03,아베크 도넛,7.778955192742893,8
2025-12-03,애월 녹차 필링 도넛,14.780438799723957,15
2025-12-03,애플 프리터,24.144490205281823,25
2025-12-03,얼그레이 크림 앙 젤리 도넛,5.208855711722409,6
2025-12-03,연유 버터 크림 도넛,33.87257659011523,34
2025-12-03,연유 카스텔라 도넛,11.753600406652213,12
2025-12-03,오레오크림치즈도넛,9.004827074616822,10
2025-12-03,오렌지캔디 도넛,12.72253221927044,13
2025-12-03,초코 크런치 스트로베리 도넛,9.516313710168388,10
2025-12-03,초코크런치스트로베리 도넛,7.536533256728672,8
2025-12-03,초콜릿 도넛,12.11034074615071,13
2025-12-03,초콜릿 버터밀크,5.711215841655122,6
2025-12-03,초콜릿 올드패션,13.415846537848564,14
2025-12-03,초콜릿 초코 롱존,4.968854497815244,5
2025-12-03,초콜릿 코코넛 도넛,5.129174030589448,6
2025-12-03,초콜릿 크론디,9.550739151901384,10
2025-12-03,카라멜 코코넛 도넛,7.030102529598851,8
2025-12-03,커피 크럼 도넛,29.6417863413299,30
2025-12-03,커피크럼 도넛,11.809809081254643,12
2025-12-03,코코넛 도넛,8.861440368026756,9
2025-12-03,코코라즈베리 도넛,4.604831006143621,5
2025-12-03,콘소메 크런치 트위스트,2.5153506667699106,3
2025-12-03,크리스마스 세트,6.552006066028622,7
2025-12-03,크림 사탕 도넛,9.516313710168388,10
2025-12-03,크림사탕도넛,5.639496589011393,6
2025-12-03,타이거 테일,2.976884455025036,3
2025-12-03,텍사스 글레이즈 도넛,13.83820336258294,14
2025-12-03,푸룬(건자두) 화이트 도넛,7.1122649628500065,8
2025-12-03,피스타치오 가나슈 도넛,6.874879512643737,7
2025-12-03,핑크 스프링클 도넛,12.71992516286016,13
2025-12-04,(배달)가나슈 도넛,3.776235054580224,4
2025-12-04,(배달)글레이즈 도넛,5.821116926474056,6
2025-12-04,(배달)글레이즈 크론디,6.151108370128338,7
2025-12-04,(배달)누텔라 도넛,3.776235054580224,4
2025-12-04,(배달)딸기 필링 도넛,3.776235054580224,4
2025-12-04,(배달)레몬 필링 도넛,2.115355133139307,3
2025-12-04,(배달)로스트 코코넛 도넛,1.667059074943813,2
2025-12-04,(배달)버터크럼 도넛,3.776235054580224,4
2025-12-04,(배달)블루베리 필링 도넛,2.0598940235465975,3
2025-12-04,(배달)슈가 도넛,2.1516423770579736,3
2025-12-04,(배달)스모어 도넛,3.5646212047087813,4
2025-12-04,(배달)스프링 어니언 도넛,2.115355133139307,3
2025-12-04,(배달)아몬드 브리틀 도넛,3.776235054580224,4
2025-12-04,(배달)애월 녹차 필링 도넛,2.0562316630462036,3
2025-12-04,(배달)애플 프리터,4.457024328155527,5
2025-12-04,(배달)연유 버터 크림 도넛,3.5646212047087813,4
2025-12-04,(배달)초코 크런치 스트로베리 도넛,3.391067895380189,4
2025-12-04,(배달)초콜릿 도넛,3.776235054580224,4
2025-12-04,(배달)초콜릿 올드패션,4.457024328155527,5
2025-12-04,(배달)초콜릿 크론디,3.585031756978676,4
2025-12-04,(배달)카라멜 코코넛 도넛,1.7536024890001343,2
2025-12-04,(배달)커피 크럼 도넛,3.6556023130847533,4
2025-12-04,(배달)코코넛 도넛,3.776235054580224,4
2025-12-04,(배달)크림 사탕 도넛,2.0193635270614734,3
2025-12-04,(배달)텍사스 글레이즈 도넛,7.958619205671829,8
2025-12-04,(배달)피스타치오 크림 도넛,2.8294246661949467,3
2025-12-04,(배달)핑크 스프링클 도넛,3.776235054580224,4
2025-12-04,가나슈 도넛,21.51155138043084,22
2025-12-04,갈릭크림치즈 도넛,25.15455979291186,26
2025-12-04,글레이즈 도넛,56.157078906583116,57
2025-12-04,글레이즈 버터밀크,8.000742571126546,9
2025-12-04,글레이즈 올드패션,14.848087917117036,15
2025-12-04,글레이즈 크론디,23.950597493410175,24
2025-12-04,누텔라 도넛,26.0592210201404,27
2025-12-04,딸기 필링 도넛,19.191733463789394,20
2025-12-04,딸기우유 크림 도넛,27.747201075781145,28
2025-12-04,딸기필링 도넛,16.488909704205334,17
2025-12-04,랜디넛 도넛,22.218184898974524,23
2025-12-04,럭키박스,3.6970374851678662,4
2025-12-04,레몬 필링 도넛,11.015113235498758,12
2025-12-04,레몬필링 도넛,12.901851343197775,13
2025-12-04,로스트 코코넛 도넛,9.736266088709687,10
2025-12-04,롤링 소시지 도넛,6.16112678998673,7
2025-12-04,메이플 크림 롱존,4.920894382079932,5
2025-12-04,민트초콜릿 도넛,6.869158311837899,7
2025-12-04,버터크럼 도넛,27.425857689615576,28
2025-12-04,베어 클라우,3.606463931472669,4
2025-12-04,베이컨 메이플 롱존,5.2005724914077005,6
2025-12-04,블루베리 필링 도넛,13.21441889694924,14
2025-12-04,살구벨벳 도넛,9.993791700711318,10
2025-12-04,소보로로쉐 도넛,5.600369091426971,6
2025-12-04,슈가 도넛,9.658050926902204,10
2025-12-04,슈가 크론디,5.345387541326056,6
2025-12-04,스모어 도넛,16.265970549765314,17
2025-12-04,스프링 어니언 도넛,17.810147076005066,18
2025-12-04,시나몬 롤,6.420402263179435,7
2025-12-04,아몬드 브리틀 도넛,18.340274783471436,19
2025-12-04,아베크 도넛,9.900451520976222,10
2025-12-04,애월 녹차 필링 도넛,20.96744689270083,21
2025-12-04,애플 프리터,30.880578115636926,31
2025-12-04,얼그레이 크림 앙 젤리 도넛,5.820225374470446,6
2025-12-04,연유 버터 크림 도넛,37.158963957690176,38
2025-12-04,연유 카스텔라 도넛,14.572894681379141,15
2025-12-04,오레오크림치즈도넛,11.154553601344256,12
2025-12-04,오렌지캔디 도넛,15.71881754248684,16
2025-12-04,초코 크런치 스트로베리 도넛,11.467794903400408,12
2025-12-04,초코크런치스트로베리 도넛,9.852542393915458,10
2025-12-04,초콜릿 도넛,15.868610584240315,16
2025-12-04,초콜릿 버터밀크,6.772061441498408,7
2025-12-04,초콜릿 올드패션,16.819251820620373,17
2025-12-04,초콜릿 초코 롱존,5.656666153998775,6
2025-12-04,초콜릿 코코넛 도넛,6.976417882879293,7
2025-12-04,초콜릿 크론디,11.108426894428685,12
2025-12-04,카라멜 코코넛 도넛,9.276418198245022,10
2025-12-04,커피 크럼 도넛,30.33729782736063,31
2025-12-04,커피크럼 도넛,16.230565668573565,17
2025-12-04,코코넛 도넛,11.303276069342377,12
2025-12-04,코코라즈베리 도넛,6.0928176576087445,7
2025-12-04,콘소메 크런치 트위스트,3.6059714558935307,4
2025-12-04,크리스마스 세트,7.455795886397611,8
2025-12-04,크림 사탕 도넛,11.467794903400408,12
2025-12-04,크림사탕도넛,7.49954824613416,8
2025-12-04,타이거 테일,3.240982874111217,4
2025-12-04,텍사스 글레이즈 도넛,18.771677337977998,19
2025-12-04,푸룬(건자두) 화이트 도넛,8.859838826324113,9
2025-12-04,피스타치오 가나슈 도넛,8.667934064213336,9
2025-12-04,핑크 스프링클 도넛,17.23492075901729,18
2025-12-05,(배달)가나슈 도넛,4.524336007944822,5
2025-12-05,(배달)글레이즈 도넛,7.899200361847063,8
2025-12-05,(배달)글레이즈 크론디,5.392720275285166,6
2025-12-05,(배달)누텔라 도넛,4.524336007944822,5
2025-12-05,(배달)딸기 필링 도넛,4.524336007944822,5
2025-12-05,(배달)레몬 필링 도넛,2.8081781265397248,3
2025-12-05,(배달)로스트 코코넛 도넛,2.886213514689894,3
2025-12-05,(배달)버터크럼 도넛,4.524336007944822,5
2025-12-05,(배달)블루베리 필링 도넛,1.505970987867146,2
2025-12-05,(배달)슈가 도넛,1.6214987803660024,2
2025-12-05,(배달)스모어 도넛,2.7551214654600433,3
2025-12-05,(배달)스프링 어니언 도넛,2.8081781265397248,3
