순번,상품명,상품코드,수량,일자
1,버터크럼 도넛,00C691,258,2024-07-05
2,글레이즈 도넛,00C686,328,2024-07-05
3,누텔라 도넛,00C641,179,2024-07-05
4,애플 프리터,00C6A3,176,2024-07-05
5,딸기필링 도넛,00C9D4,109,2024-07-05
6,커피크럼 도넛,019B66,121,2024-07-05
7,레몬필링 도넛,00C6AA,95,2024-07-05
8,텍사스 글레이즈 도넛,00C63D,82,2024-07-05
9,스프링 어니언 도넛,01F4E2,72,2024-07-05
10,소보로로쉐 도넛,03AB4B,71,2024-07-05
11,아몬드 브리틀 도넛,02C041,69,2024-07-05
12,초코크런치스트로베리 도넛,01C27D,69,2024-07-05
13,가나슈 도넛,00C642,67,2024-07-05
14,코코넛 도넛,00C6AE,75,2024-07-05
15,초콜릿 초코 롱존,011FC0,62,2024-07-05
16,카라멜 코코넛 도넛,00C646,65,2024-07-05
17,애월 녹차 필링 도넛,01F4E5,56,2024-07-05
18,민트초콜릿 도넛,00C640,58,2024-07-05
19,시나몬 롤,00C6A4,63,2024-07-05
20,초콜릿 도넛,00C687,69,2024-07-05
21,로스트 코코넛 도넛,00C6AF,56,2024-07-05
22,핑크 스프링클 도넛,00C692,65,2024-07-05
23,매쉬드 포테이토 도넛,03AB46,48,2024-07-05
24,발로나 티라미수 도넛,03AB47,45,2024-07-05
25,피스타치오 가나슈 도넛,0448DD,47,2024-07-05
26,얼그레이 크림 앙 젤리 도넛,044C49,45,2024-07-05
27,스모어 도넛,00C645,48,2024-07-05
28,슈가 도넛,00C688,62,2024-07-05
29,초콜릿 코코넛 도넛,00C6AD,47,2024-07-05
30,코코라즈베리 도넛,01C27C,41,2024-07-05
31,갈릭크림치즈 도넛,02C043,41,2024-07-05
32,크림사탕도넛,01C27E,39,2024-07-05
33,메이플 크림 롱존,00C6B1,28,2024-07-05
34,베어 클라우,00C6A5,29,2024-07-05
35,블루베리 필링 도넛,011FC1,25,2024-07-05
36,오션 바캉스 도넛,04C4E1,23,2024-07-05
37,글레이즈 크론디,00C6A6,28,2024-07-05
38,초콜릿 올드패션,00C69E,29,2024-07-05
39,스모크 베이컨 할라피뇨 도넛,03AB44,20,2024-07-05
40,타이거 테일,00C63E,20,2024-07-05
41,베이컨 메이플 롱존,00C63F,16,2024-07-05
42,데블스 케이크,00C689,21,2024-07-05
43,글레이즈 올드패션,00C69D,20,2024-07-05
44,슈가 크론디,00C6A7,15,2024-07-05
45,초콜릿 크론디,00C6A8,13,2024-07-05
1,글레이즈 도넛,00C686,581,2024-07-06
2,버터크럼 도넛,00C691,443,2024-07-06
3,누텔라 도넛,00C641,187,2024-07-06
4,애플 프리터,00C6A3,149,2024-07-06
5,텍사스 글레이즈 도넛,00C63D,143,2024-07-06
6,딸기필링 도넛,00C9D4,140,2024-07-06
7,가나슈 도넛,00C642,138,2024-07-06
8,커피크럼 도넛,019B66,162,2024-07-06
9,코코넛 도넛,00C6AE,112,2024-07-06
10,소보로로쉐 도넛,03AB4B,85,2024-07-06
11,발로나 티라미수 도넛,03AB47,85,2024-07-06
12,애월 녹차 필링 도넛,01F4E5,74,2024-07-06
13,레몬필링 도넛,00C6AA,76,2024-07-06
14,로스트 코코넛 도넛,00C6AF,80,2024-07-06
15,코코라즈베리 도넛,01C27C,71,2024-07-06
16,초콜릿 도넛,00C687,93,2024-07-06
17,초코크런치스트로베리 도넛,01C27D,70,2024-07-06
18,카라멜 코코넛 도넛,00C646,73,2024-07-06
19,초콜릿 코코넛 도넛,00C6AD,68,2024-07-06
20,크림사탕도넛,01C27E,62,2024-07-06
21,핑크 스프링클 도넛,00C692,70,2024-07-06
22,스모크 베이컨 할라피뇨 도넛,03AB44,52,2024-07-06
23,아몬드 브리틀 도넛,02C041,48,2024-07-06
24,민트초콜릿 도넛,00C640,44,2024-07-06
25,스모어 도넛,00C645,47,2024-07-06
26,시나몬 롤,00C6A4,51,2024-07-06
27,초콜릿 초코 롱존,011FC0,38,2024-07-06
28,스프링 어니언 도넛,01F4E2,36,2024-07-06
29,슈가 도넛,00C688,45,2024-07-06
30,얼그레이 크림 앙 젤리 도넛,044C49,29,2024-07-06
31,오션 바캉스 도넛,04C4E1,26,2024-07-06
32,갈릭크림치즈 도넛,02C043,25,2024-07-06
33,타이거 테일,00C63E,28,2024-07-06
34,피스타치오 가나슈 도넛,0448DD,23,2024-07-06
35,베어 클라우,00C6A5,24,2024-07-06
36,매쉬드 포테이토 도넛,03AB46,22,2024-07-06
37,베이컨 메이플 롱존,00C63F,19,2024-07-06
38,초콜릿 올드패션,00C69E,26,2024-07-06
39,메이플 크림 롱존,00C6B1,18,2024-07-06
40,글레이즈 올드패션,00C69D,27,2024-07-06
41,블루베리 필링 도넛,011FC1,17,2024-07-06
42,데블스 케이크,00C689,20,2024-07-06
43,글레이즈 크론디,00C6A6,15,2024-07-06
44,슈가 크론디,00C6A7,11,2024-07-06
45,초콜릿 크론디,00C6A8,10,2024-07-06
1,글레이즈 도넛,00C686,446,2024-07-07
2,버터크럼 도넛,00C691,325,2024-07-07
3,애플 프리터,00C6A3,217,2024-07-07
4,누텔라 도넛,00C641,167,2024-07-07
5,가나슈 도넛,00C642,119,2024-07-07
6,애월 녹차 필링 도넛,01F4E5,104,2024-07-07
7,딸기필링 도넛,00C9D4,107,2024-07-07
8,발로나 티라미수 도넛,03AB47,89,2024-07-07
9,텍사스 글레이즈 도넛,00C63D,90,2024-07-07
10,코코넛 도넛,00C6AE,105,2024-07-07
11,레몬필링 도넛,00C6AA,87,2024-07-07
12,카라멜 코코넛 도넛,00C646,88,2024-07-07
13,로스트 코코넛 도넛,00C6AF,87,2024-07-07
14,코코라즈베리 도넛,01C27C,74,2024-07-07
15,커피크럼 도넛,019B66,84,2024-07-07
16,초콜릿 도넛,00C687,90,2024-07-07
17,초콜릿 코코넛 도넛,00C6AD,73,2024-07-07
18,크림사탕도넛,01C27E,61,2024-07-07
19,민트초콜릿 도넛,00C640,59,2024-07-07
20,스모어 도넛,00C645,60,2024-07-07
21,소보로로쉐 도넛,03AB4B,49,2024-07-07
22,스프링 어니언 도넛,01F4E2,48,2024-07-07
23,초코크런치스트로베리 도넛,01C27D,50,2024-07-07
24,아몬드 브리틀 도넛,02C041,49,2024-07-07
25,피스타치오 가나슈 도넛,0448DD,47,2024-07-07
26,핑크 스프링클 도넛,00C692,60,2024-07-07
27,슈가 도넛,00C688,57,2024-07-07
