날짜,상품명,예측수량,주문량_ceil
2025-10-30,(배달)가나슈 도넛,3.8197940988802106,4
2025-10-30,(배달)글레이즈 도넛,6.437620837989972,7
2025-10-30,(배달)글레이즈 크론디,6.019203580153958,7
2025-10-30,(배달)누텔라 도넛,3.8197940988802106,4
2025-10-30,(배달)딸기 필링 도넛,3.8197940988802106,4
2025-10-30,(배달)레몬 필링 도넛,2.5515754090652507,3
2025-10-30,(배달)로스트 코코넛 도넛,2.7056891113702637,3
2025-10-30,(배달)버터크럼 도넛,3.8197940988802106,4
2025-10-30,(배달)블루베리 필링 도넛,2.7790769012497236,3
2025-10-30,(배달)슈가 도넛,2.498590436071883,3
2025-10-30,(배달)스모어 도넛,4.028345218622149,5
2025-10-30,(배달)스프링 어니언 도넛,2.5144497720964316,3
2025-10-30,(배달)아몬드 브리틀 도넛,3.8197940988802106,4
2025-10-30,(배달)애월 녹차 필링 도넛,2.7933740787056047,3
2025-10-30,(배달)애플 프리터,3.704647645577969,4
2025-10-30,(배달)연유 버터 크림 도넛,4.020440775019108,5
2025-10-30,(배달)초코 크런치 스트로베리 도넛,3.741977436889302,4
2025-10-30,(배달)초콜릿 도넛,3.8197940988802106,4
2025-10-30,(배달)초콜릿 올드패션,3.704647645577969,4
2025-10-30,(배달)초콜릿 크론디,3.0936378950366197,4
2025-10-30,(배달)카라멜 코코넛 도넛,2.525930114802462,3
2025-10-30,(배달)커피 크럼 도넛,3.8631142763150743,4
2025-10-30,(배달)코코넛 도넛,3.8197940988802106,4
2025-10-30,(배달)크림 사탕 도넛,2.8007279312982707,3
2025-10-30,(배달)텍사스 글레이즈 도넛,7.382272110979772,8
2025-10-30,(배달)피스타치오 크림 도넛,3.134001528649089,4
2025-10-30,(배달)핑크 스프링클 도넛,3.8197940988802106,4
2025-10-30,가나슈 도넛,23.165588186894126,24
2025-10-30,갈릭크림치즈 도넛,30.200380986980083,31
2025-10-30,글레이즈 도넛,74.35908880654104,75
2025-10-30,글레이즈 버터밀크,7.462363867867345,8
2025-10-30,글레이즈 올드패션,12.691888472854659,13
2025-10-30,글레이즈 크론디,29.997894715873905,30
2025-10-30,누텔라 도넛,31.208861441150543,32
2025-10-30,딸기 필링 도넛,22.539669250519985,23
2025-10-30,딸기우유 크림 도넛,28.939177838156198,29
2025-10-30,딸기필링 도넛,18.19403421279535,19
2025-10-30,랜디넛 도넛,22.43104315241029,23
2025-10-30,럭키박스,2.7292854605400616,3
2025-10-30,레몬 필링 도넛,12.734477317233338,13
2025-10-30,레몬필링 도넛,13.586524385616219,14
2025-10-30,로스트 코코넛 도넛,9.585058106212196,10
2025-10-30,롤링 소시지 도넛,6.119870213153962,7
2025-10-30,메이플 크림 롱존,3.4892824154559112,4
2025-10-30,민트초콜릿 도넛,6.524340420404278,7
2025-10-30,버터크럼 도넛,33.96577631991152,34
2025-10-30,베어 클라우,3.119923851008701,4
2025-10-30,베이컨 메이플 롱존,4.236855792859667,5
2025-10-30,블루베리 필링 도넛,13.76876935694628,14
2025-10-30,살구벨벳 도넛,10.43167856142164,11
2025-10-30,소보로로쉐 도넛,11.05414305258258,12
2025-10-30,슈가 도넛,9.450201795180838,10
2025-10-30,슈가 크론디,5.260989458968872,6
2025-10-30,스모어 도넛,17.4942968302577,18
2025-10-30,스프링 어니언 도넛,22.155371285208805,23
2025-10-30,시나몬 롤,5.450682230019954,6
2025-10-30,아몬드 브리틀 도넛,20.58234531463355,21
2025-10-30,아베크 도넛,9.559336547333045,10
2025-10-30,애월 녹차 필링 도넛,24.020158628307357,25
2025-10-30,애플 프리터,46.07013344729296,47
2025-10-30,얼그레이 크림 앙 젤리 도넛,6.73707920748676,7
2025-10-30,연유 버터 크림 도넛,41.453826054855874,42
2025-10-30,연유 카스텔라 도넛,27.28007401525561,28
2025-10-30,오레오크림치즈도넛,23.499896079106815,24
2025-10-30,오렌지캔디 도넛,15.066076665868493,16
2025-10-30,초코 크런치 스트로베리 도넛,11.140174217153563,12
2025-10-30,초코크런치스트로베리 도넛,9.935641508279627,10
2025-10-30,초콜릿 도넛,17.197187083512212,18
2025-10-30,초콜릿 버터밀크,5.581904792300951,6
2025-10-30,초콜릿 올드패션,21.097273234009688,22
2025-10-30,초콜릿 초코 롱존,4.558688376102603,5
2025-10-30,초콜릿 코코넛 도넛,6.6939752293758765,7
2025-10-30,초콜릿 크론디,14.647348191397384,15
2025-10-30,카라멜 코코넛 도넛,9.380373360405834,10
2025-10-30,커피 크럼 도넛,26.612910425803495,27
2025-10-30,커피크럼 도넛,17.230338245596027,18
2025-10-30,코코넛 도넛,11.29670706613714,12
2025-10-30,코코라즈베리 도넛,6.329448954732971,7
2025-10-30,콘소메 크런치 트위스트,7.468644844849278,8
2025-10-30,크리스마스 세트,7.093414995220469,8
2025-10-30,크림 사탕 도넛,11.140174217153563,12
2025-10-30,크림사탕도넛,7.254392306227525,8
2025-10-30,타이거 테일,2.525029127304467,3
2025-10-30,텍사스 글레이즈 도넛,24.402316061230476,25
2025-10-30,푸룬(건자두) 화이트 도넛,10.814393530874261,11
2025-10-30,피스타치오 가나슈 도넛,32.56423289766553,33
2025-10-30,핑크 스프링클 도넛,18.877310275934214,19
2025-10-31,(배달)가나슈 도넛,5.059194826956771,6
2025-10-31,(배달)글레이즈 도넛,8.187639855488866,9
2025-10-31,(배달)글레이즈 크론디,4.977739335681526,5
2025-10-31,(배달)누텔라 도넛,5.059194826956771,6
2025-10-31,(배달)딸기 필링 도넛,5.059194826956771,6
2025-10-31,(배달)레몬 필링 도넛,4.064800284836203,5
2025-10-31,(배달)로스트 코코넛 도넛,3.731772549688677,4
2025-10-31,(배달)버터크럼 도넛,5.059194826956771,6
2025-10-31,(배달)블루베리 필링 도넛,3.244366263924945,4
2025-10-31,(배달)슈가 도넛,3.1747697708532394,4
2025-10-31,(배달)스모어 도넛,4.340882617052002,5
2025-10-31,(배달)스프링 어니언 도넛,4.022274251060087,5
2025-10-31,(배달)아몬드 브리틀 도넛,5.059194826956771,6
2025-10-31,(배달)애월 녹차 필링 도넛,4.064800284836203,5
2025-10-31,(배달)애플 프리터,4.025883175610892,5
2025-10-31,(배달)연유 버터 크림 도넛,4.9595764906237,5
2025-10-31,(배달)초코 크런치 스트로베리 도넛,4.961367760880255,5
2025-10-31,(배달)초콜릿 도넛,5.059194826956771,6
2025-10-31,(배달)초콜릿 올드패션,4.025883175610892,5
2025-10-31,(배달)초콜릿 크론디,3.6079997827910444,4
2025-10-31,(배달)카라멜 코코넛 도넛,4.012573873029564,5
2025-10-31,(배달)커피 크럼 도넛,5.193677158864388,6
2025-10-31,(배달)코코넛 도넛,5.059194826956771,6
2025-10-31,(배달)크림 사탕 도넛,3.2686830227310146,4
2025-10-31,(배달)텍사스 글레이즈 도넛,7.817446577431246,8
2025-10-31,(배달)피스타치오 크림 도넛,2.4525640576123555,3
2025-10-31,(배달)핑크 스프링클 도넛,5.059194826956771,6
2025-10-31,가나슈 도넛,29.425303453228754,30
2025-10-31,갈릭크림치즈 도넛,37.67967168564155,38
2025-10-31,글레이즈 도넛,88.04223584351891,89
2025-10-31,글레이즈 버터밀크,7.335220139262124,8
2025-10-31,글레이즈 올드패션,14.941700385795604,15
2025-10-31,글레이즈 크론디,35.06891096651442,36
2025-10-31,누텔라 도넛,42.8758214204378,43
2025-10-31,딸기 필링 도넛,27.391895006066772,28
2025-10-31,딸기우유 크림 도넛,40.164689084848085,41
2025-10-31,딸기필링 도넛,24.18027969507771,25
2025-10-31,랜디넛 도넛,23.937412968718426,24
2025-10-31,럭키박스,2.855373698083318,3
2025-10-31,레몬 필링 도넛,15.035376139618306,16
2025-10-31,레몬필링 도넛,17.47495295801132,18
2025-10-31,로스트 코코넛 도넛,12.262912621739902,13
2025-10-31,롤링 소시지 도넛,6.86326646858419,7
2025-10-31,메이플 크림 롱존,3.592298275944733,4
2025-10-31,민트초콜릿 도넛,8.651304313976278,9
2025-10-31,버터크럼 도넛,44.50717956475801,45
2025-10-31,베어 클라우,3.1161375860098426,4
2025-10-31,베이컨 메이플 롱존,4.448385284263447,5
2025-10-31,블루베리 필링 도넛,18.113204252353505,19
2025-10-31,살구벨벳 도넛,11.756735942052043,12
2025-10-31,소보로로쉐 도넛,12.82732344045106,13
2025-10-31,슈가 도넛,12.082178259118189,13
2025-10-31,슈가 크론디,5.685208245780622,6
2025-10-31,스모어 도넛,23.625418498881913,24
2025-10-31,스프링 어니언 도넛,27.48530285786183,28
2025-10-31,시나몬 롤,5.753669923727494,6
2025-10-31,아몬드 브리틀 도넛,27.24178146670283,28
2025-10-31,아베크 도넛,9.38041326169527,10
2025-10-31,애월 녹차 필링 도넛,30.807319599303618,31
2025-10-31,애플 프리터,52.34894582289856,53
2025-10-31,얼그레이 크림 앙 젤리 도넛,7.611565319377071,8
2025-10-31,연유 버터 크림 도넛,50.887184000254706,51
2025-10-31,연유 카스텔라 도넛,28.035142522620095,29
2025-10-31,오레오크림치즈도넛,27.929418941320307,28
2025-10-31,오렌지캔디 도넛,16.873861345273188,17
2025-10-31,초코 크런치 스트로베리 도넛,12.933597222015383,13
2025-10-31,초코크런치스트로베리 도넛,12.049558141581642,13
2025-10-31,초콜릿 도넛,24.788325749202365,25
2025-10-31,초콜릿 버터밀크,5.896775274131091,6
2025-10-31,초콜릿 올드패션,23.31068932435312,24
2025-10-31,초콜릿 초코 롱존,4.77689133269061,5
2025-10-31,초콜릿 코코넛 도넛,8.751917697138902,9
2025-10-31,초콜릿 크론디,18.067679470402375,19
2025-10-31,카라멜 코코넛 도넛,12.324273492321913,13
2025-10-31,커피 크럼 도넛,39.977452949901476,40
2025-10-31,커피크럼 도넛,27.84011813114822,28
2025-10-31,코코넛 도넛,14.61462391958501,15
2025-10-31,코코라즈베리 도넛,7.031513943284433,8
2025-10-31,콘소메 크런치 트위스트,7.466992469678936,8
2025-10-31,크리스마스 세트,7.0800888211108965,8
2025-10-31,크림 사탕 도넛,12.933597222015383,13
2025-10-31,크림사탕도넛,8.909657107562959,9
2025-10-31,타이거 테일,2.495789747963063,3
2025-10-31,텍사스 글레이즈 도넛,30.47066828685276,31
2025-10-31,푸룬(건자두) 화이트 도넛,11.729653800019289,12
2025-10-31,피스타치오 가나슈 도넛,41.821767888861274,42
2025-10-31,핑크 스프링클 도넛,24.731153722043306,25
2025-11-01,(배달)가나슈 도넛,6.578187533637332,7
2025-11-01,(배달)글레이즈 도넛,12.979314248982197,13
2025-11-01,(배달)글레이즈 크론디,6.034821992053469,7
2025-11-01,(배달)누텔라 도넛,6.578187533637332,7
2025-11-01,(배달)딸기 필링 도넛,6.578187533637332,7
2025-11-01,(배달)레몬 필링 도넛,4.29103399043812,5
2025-11-01,(배달)로스트 코코넛 도넛,3.537815557755657,4
2025-11-01,(배달)버터크럼 도넛,6.578187533637332,7
2025-11-01,(배달)블루베리 필링 도넛,4.260893360015324,5
2025-11-01,(배달)슈가 도넛,3.9675272604811718,4
2025-11-01,(배달)스모어 도넛,6.455835987967409,7
2025-11-01,(배달)스프링 어니언 도넛,5.206365295979517,6
2025-11-01,(배달)아몬드 브리틀 도넛,6.578187533637332,7
2025-11-01,(배달)애월 녹차 필링 도넛,5.264412152343076,6
2025-11-01,(배달)애플 프리터,4.753819421485312,5
2025-11-01,(배달)연유 버터 크림 도넛,6.450793125209663,7
2025-11-01,(배달)초코 크런치 스트로베리 도넛,6.455835987967409,7
2025-11-01,(배달)초콜릿 도넛,6.578187533637332,7
2025-11-01,(배달)초콜릿 올드패션,4.753819421485312,5
2025-11-01,(배달)초콜릿 크론디,4.369707812347374,5
2025-11-01,(배달)카라멜 코코넛 도넛,4.243580315219992,5
2025-11-01,(배달)커피 크럼 도넛,8.484137037367214,9
2025-11-01,(배달)코코넛 도넛,6.578187533637332,7
2025-11-01,(배달)크림 사탕 도넛,4.29103399043812,5
2025-11-01,(배달)텍사스 글레이즈 도넛,13.329003293551892,14
2025-11-01,(배달)피스타치오 크림 도넛,2.609734455475774,3
2025-11-01,(배달)핑크 스프링클 도넛,6.578187533637332,7
2025-11-01,가나슈 도넛,42.02897844034439,43
2025-11-01,갈릭크림치즈 도넛,41.21910472890095,42
2025-11-01,글레이즈 도넛,118.28426523724882,119
2025-11-01,글레이즈 버터밀크,8.04499896305829,9
2025-11-01,글레이즈 올드패션,14.052396701346078,15
2025-11-01,글레이즈 크론디,41.09909804105482,42
2025-11-01,누텔라 도넛,74.28678115039679,75
2025-11-01,딸기 필링 도넛,29.36425847843837,30
2025-11-01,딸기우유 크림 도넛,42.05301411990368,43
2025-11-01,딸기필링 도넛,28.95602547254445,29
2025-11-01,랜디넛 도넛,25.604084885449936,26
2025-11-01,럭키박스,3.99807829344127,4
2025-11-01,레몬 필링 도넛,16.97895096755607,17
2025-11-01,레몬필링 도넛,23.705019813448743,24
2025-11-01,로스트 코코넛 도넛,17.521006211092207,18
2025-11-01,롤링 소시지 도넛,7.844455441713715,8
2025-11-01,메이플 크림 롱존,3.7776141992154177,4
2025-11-01,민트초콜릿 도넛,12.142026162908433,13
2025-11-01,버터크럼 도넛,76.18157215535012,77
2025-11-01,베어 클라우,3.4161544830675235,4
2025-11-01,베이컨 메이플 롱존,4.922798488850134,5
2025-11-01,블루베리 필링 도넛,22.919498290999332,23
2025-11-01,살구벨벳 도넛,11.600946776608462,12
2025-11-01,소보로로쉐 도넛,6.768533554130946,7
2025-11-01,슈가 도넛,17.49432405925027,18
2025-11-01,슈가 크론디,6.688785129464228,7
2025-11-01,스모어 도넛,33.50753735939315,34
2025-11-01,스프링 어니언 도넛,30.43400945426642,31
2025-11-01,시나몬 롤,5.0077582588070495,6
2025-11-01,아몬드 브리틀 도넛,41.12262244740113,42
2025-11-01,아베크 도넛,10.712744742407331,11
2025-11-01,애월 녹차 필링 도넛,33.54001964417302,34
2025-11-01,애플 프리터,61.19352013542674,62
2025-11-01,얼그레이 크림 앙 젤리 도넛,7.645735236582248,8
2025-11-01,연유 버터 크림 도넛,55.13499807876717,56
2025-11-01,연유 카스텔라 도넛,12.98072572198017,13
2025-11-01,오레오크림치즈도넛,14.476417203879247,15
2025-11-01,오렌지캔디 도넛,14.749925346510032,15
2025-11-01,초코 크런치 스트로베리 도넛,16.125549333728376,17
2025-11-01,초코크런치스트로베리 도넛,15.99086264988243,16
2025-11-01,초콜릿 도넛,41.09481448150148,42
2025-11-01,초콜릿 버터밀크,6.451567148571497,7
2025-11-01,초콜릿 올드패션,22.738924969762863,23
2025-11-01,초콜릿 초코 롱존,5.9118042682586065,6
2025-11-01,초콜릿 코코넛 도넛,12.927472327004716,13
2025-11-01,초콜릿 크론디,22.935674778571812,23
2025-11-01,카라멜 코코넛 도넛,17.566794796007002,18
2025-11-01,커피 크럼 도넛,58.55373992833446,59
2025-11-01,커피크럼 도넛,45.615409505123644,46
2025-11-01,코코넛 도넛,19.172486802043803,20
2025-11-01,코코라즈베리 도넛,8.843584890463976,9
2025-11-01,콘소메 크런치 트위스트,3.143053386191998,4
2025-11-01,크리스마스 세트,8.103163628376247,9
2025-11-01,크림 사탕 도넛,16.125549333728376,17
2025-11-01,크림사탕도넛,12.049862748405687,13
2025-11-01,타이거 테일,2.3104037491434903,3
2025-11-01,텍사스 글레이즈 도넛,42.626612339063236,43
2025-11-01,푸룬(건자두) 화이트 도넛,12.564119852445682,13
2025-11-01,피스타치오 가나슈 도넛,4.041455844925282,5
2025-11-01,핑크 스프링클 도넛,37.30520456821846,38
2025-11-02,(배달)가나슈 도넛,8.381415315331083,9
2025-11-02,(배달)글레이즈 도넛,13.07094100499238,14
2025-11-02,(배달)글레이즈 크론디,7.6656425428367205,8
2025-11-02,(배달)누텔라 도넛,8.381415315331083,9
2025-11-02,(배달)딸기 필링 도넛,8.381415315331083,9
2025-11-02,(배달)레몬 필링 도넛,6.852810964396764,7
2025-11-02,(배달)로스트 코코넛 도넛,5.06325709786168,6
2025-11-02,(배달)버터크럼 도넛,8.381415315331083,9
2025-11-02,(배달)블루베리 필링 도넛,6.8080770478341925,7
2025-11-02,(배달)슈가 도넛,6.734471087050392,7
2025-11-02,(배달)스모어 도넛,8.229950250721988,9
2025-11-02,(배달)스프링 어니언 도넛,5.457248762992641,6
2025-11-02,(배달)아몬드 브리틀 도넛,8.381415315331083,9
2025-11-02,(배달)애월 녹차 필링 도넛,5.64111697695208,6
2025-11-02,(배달)애플 프리터,6.141677198370742,7
2025-11-02,(배달)연유 버터 크림 도넛,7.07673672381171,8
2025-11-02,(배달)초코 크런치 스트로베리 도넛,8.229950250721988,9
2025-11-02,(배달)초콜릿 도넛,8.381415315331083,9
2025-11-02,(배달)초콜릿 올드패션,6.141677198370742,7
2025-11-02,(배달)초콜릿 크론디,5.869342776836493,6
2025-11-02,(배달)카라멜 코코넛 도넛,6.774238500934295,7
2025-11-02,(배달)커피 크럼 도넛,10.292709068438432,11
2025-11-02,(배달)코코넛 도넛,8.381415315331083,9
2025-11-02,(배달)크림 사탕 도넛,6.852810964396764,7
2025-11-02,(배달)텍사스 글레이즈 도넛,18.204885847583228,19
2025-11-02,(배달)피스타치오 크림 도넛,4.411762132254592,5
2025-11-02,(배달)핑크 스프링클 도넛,8.381415315331083,9
2025-11-02,가나슈 도넛,54.74391305961499,55
2025-11-02,갈릭크림치즈 도넛,57.996436068775814,58
2025-11-02,글레이즈 도넛,145.93345633304622,146
2025-11-02,글레이즈 버터밀크,10.266080909453319,11
2025-11-02,글레이즈 올드패션,17.13697867583773,18
2025-11-02,글레이즈 크론디,53.825294357927724,54
2025-11-02,누텔라 도넛,90.5918781545775,91
2025-11-02,딸기 필링 도넛,42.11063865794017,43
2025-11-02,딸기우유 크림 도넛,62.06804335993848,63
2025-11-02,딸기필링 도넛,38.353193663759754,39
2025-11-02,랜디넛 도넛,30.469744414791364,31
2025-11-02,럭키박스,5.776279576125904,6
2025-11-02,레몬 필링 도넛,22.806624180781213,23
2025-11-02,레몬필링 도넛,30.471313026415213,31
2025-11-02,로스트 코코넛 도넛,22.439507935335044,23
2025-11-02,롤링 소시지 도넛,10.225180115521344,11
2025-11-02,메이플 크림 롱존,4.98215207126317,5
2025-11-02,민트초콜릿 도넛,15.656142536248161,16
2025-11-02,버터크럼 도넛,92.25517890444485,93
2025-11-02,베어 클라우,4.5386807712599335,5
2025-11-02,베이컨 메이플 롱존,7.080648941782937,8
2025-11-02,블루베리 필링 도넛,29.070130177104907,30
2025-11-02,살구벨벳 도넛,17.881924354482123,18
2025-11-02,소보로로쉐 도넛,10.841005057461903,11
2025-11-02,슈가 도넛,22.371841843252515,23
2025-11-02,슈가 크론디,8.937498849402445,9
2025-11-02,스모어 도넛,43.640714829371625,44
2025-11-02,스프링 어니언 도넛,38.75896434138914,39
2025-11-02,시나몬 롤,6.548696986793688,7
2025-11-02,아몬드 브리틀 도넛,52.12474376611384,53
2025-11-02,아베크 도넛,16.82758279503762,17
2025-11-02,애월 녹차 필링 도넛,48.374129884657975,49
2025-11-02,애플 프리터,69.39925981317393,70
2025-11-02,얼그레이 크림 앙 젤리 도넛,9.890284007875504,10
2025-11-02,연유 버터 크림 도넛,76.07828519156162,77
2025-11-02,연유 카스텔라 도넛,22.70292997829912,23
2025-11-02,오레오크림치즈도넛,21.642288112828613,22
2025-11-02,오렌지캔디 도넛,22.285537980479862,23
2025-11-02,초코 크런치 스트로베리 도넛,19.69397752607505,20
2025-11-02,초코크런치스트로베리 도넛,20.474320646134494,21
