날짜,상품명,예측수량,주문량_ceil
2025-12-04,가나슈 도넛,2.938048799630148,3
2025-12-04,갈릭크림치즈 도넛,1.754343167404663,2
2025-12-04,글레이즈 도넛,4.256730359276301,5
2025-12-04,글레이즈 올드패션,1.5613476026496864,2
2025-12-04,글레이즈 크론디,3.583692421089406,4
2025-12-04,누텔라 도넛,3.5861545990110217,4
2025-12-04,데블스 케이크,0.8784555771028686,1
2025-12-04,딸기우유 크림 도넛,2.382923942008596,3
2025-12-04,딸기필링 도넛,2.8961661437471533,3
2025-12-04,럭키박스,1.549171212528575,2
2025-12-04,레몬필링 도넛,2.85378990505628,3
2025-12-04,로스트 코코넛 도넛,2.1465339028600026,3
2025-12-04,롤링 소시지 도넛,1.1880896181734732,2
2025-12-04,매쉬드 포테이토 도넛,2.1110305949368526,3
2025-12-04,메이플 크림 롱존,0.5928279027546349,1
2025-12-04,민트초콜릿 도넛,1.7725307483738912,2
2025-12-04,발로나 티라미수 도넛,2.107611260599023,3
2025-12-04,버터크럼 도넛,3.63417984058966,4
2025-12-04,베어 클라우,0.595839340078385,1
2025-12-04,베이컨 메이플 롱존,0.5967960965023223,1
2025-12-04,블루베리 필링 도넛,2.8463296825861253,3
2025-12-04,소보로로쉐 도넛,2.3885694506484803,3
2025-12-04,슈가 도넛,2.674271723610374,3
2025-12-04,슈가 크론디,0.806875763873276,1
2025-12-04,스모어 도넛,2.9334447186252968,3
2025-12-04,스모크 베이컨 할라피뇨 도넛,1.5940137172511983,2
2025-12-04,스프링 어니언 도넛,2.870330748525453,3
2025-12-04,시나몬 롤,1.2424804428334306,2
2025-12-04,아몬드 브리틀 도넛,3.2344380242815243,4
2025-12-04,애월 녹차 필링 도넛,2.887484339002881,3
2025-12-04,애플 프리터,3.990323318223679,4
2025-12-04,얼그레이 크림 앙 젤리 도넛,1.6562039559681399,2
2025-12-04,연유 버터 크림 도넛,3.7153956783279045,4
2025-12-04,연유 카스텔라 도넛,2.156503929478404,3
2025-12-04,오레오크림치즈도넛,1.8456901503090537,2
2025-12-04,오션 바캉스 도넛,1.319379880601745,2
2025-12-04,초코크런치스트로베리 도넛,2.8775762429175797,3
2025-12-04,초콜릿 도넛,3.2329635839107587,4
2025-12-04,초콜릿 올드패션,3.046913810581683,4
2025-12-04,초콜릿 초코 롱존,0.7998176820082429,1
2025-12-04,초콜릿 코코넛 도넛,2.5689766863343286,3
2025-12-04,초콜릿 크론디,3.0118629757601987,4
2025-12-04,카라멜 코코넛 도넛,2.1715971644350307,3
2025-12-04,커피크럼 도넛,3.1839113554900016,4
2025-12-04,코코넛 도넛,2.5521170319580535,3
2025-12-04,코코라즈베리 도넛,1.189970005060581,2
2025-12-04,콘소메 크런치 트위스트,1.14860539022886,2
2025-12-04,크림사탕도넛,2.621181530670899,3
2025-12-04,타이거 테일,0.8029060671935213,1
2025-12-04,텍사스 글레이즈 도넛,3.584564348037006,4
2025-12-04,피스타치오 가나슈 도넛,3.719551432550271,4
2025-12-04,핑크 스프링클 도넛,3.2600228653761176,4
2025-12-05,가나슈 도넛,3.3185345327183717,4
2025-12-05,갈릭크림치즈 도넛,1.7295538326681772,2
2025-12-05,글레이즈 도넛,4.61284684457591,5
2025-12-05,글레이즈 올드패션,1.5961884408529934,2
2025-12-05,글레이즈 크론디,3.8890069938038963,4
2025-12-05,누텔라 도넛,3.8962384240113,4
2025-12-05,데블스 케이크,0.7955651870933916,1
2025-12-05,딸기우유 크림 도넛,2.2253790109696254,3
2025-12-05,딸기필링 도넛,3.216260718699446,4
2025-12-05,럭키박스,1.131498730958911,2
2025-12-05,레몬필링 도넛,3.0754187429384237,4
2025-12-05,로스트 코코넛 도넛,2.372853573328669,3
2025-12-05,롤링 소시지 도넛,1.2104792646507543,2
2025-12-05,매쉬드 포테이토 도넛,2.176711871401896,3
2025-12-05,메이플 크림 롱존,0.6337316558082035,1
2025-12-05,민트초콜릿 도넛,1.8434091328389526,2
2025-12-05,발로나 티라미수 도넛,2.0896487436092537,3
2025-12-05,버터크럼 도넛,3.969097607159329,4
2025-12-05,베어 클라우,0.5408484557993657,1
2025-12-05,베이컨 메이플 롱존,0.5417169117734116,1
2025-12-05,블루베리 필링 도넛,3.117626585991059,4
2025-12-05,소보로로쉐 도넛,2.2420235842530314,3
2025-12-05,슈가 도넛,2.892820312059825,3
2025-12-05,슈가 크론디,0.7523249044544379,1
2025-12-05,스모어 도넛,3.2847110319813364,4
2025-12-05,스모크 베이컨 할라피뇨 도넛,1.4557632292161435,2
2025-12-05,스프링 어니언 도넛,3.1819708842174688,4
2025-12-05,시나몬 롤,1.109237908287954,2
2025-12-05,아몬드 브리틀 도넛,3.5141964112911226,4
2025-12-05,애월 녹차 필링 도넛,3.226975706458888,4
2025-12-05,애플 프리터,4.113445147723688,5
2025-12-05,얼그레이 크림 앙 젤리 도넛,1.6410149374842848,2
2025-12-05,연유 버터 크림 도넛,3.8876293917448113,4
2025-12-05,연유 카스텔라 도넛,2.15872986590569,3
2025-12-05,오레오크림치즈도넛,1.889721717969683,2
2025-12-05,오션 바캉스 도넛,1.3271995123223155,2
2025-12-05,초코크런치스트로베리 도넛,3.1240655713856755,4
2025-12-05,초콜릿 도넛,3.5363069025798755,4
2025-12-05,초콜릿 올드패션,3.2083216806245596,4
2025-12-05,초콜릿 초코 롱존,0.8207277588573405,1
2025-12-05,초콜릿 코코넛 도넛,2.7781338651298793,3
2025-12-05,초콜릿 크론디,3.2607112008580095,4
2025-12-05,카라멜 코코넛 도넛,2.40927253471934,3
2025-12-05,커피크럼 도넛,3.5468900356547013,4
2025-12-05,코코넛 도넛,2.7660949747105503,3
2025-12-05,코코라즈베리 도넛,1.1317578370390013,2
2025-12-05,콘소메 크런치 트위스트,1.1435314374783216,2
2025-12-05,크림사탕도넛,2.8010831438740396,3
2025-12-05,타이거 테일,0.7284285368369025,1
2025-12-05,텍사스 글레이즈 도넛,3.813461545604989,4
2025-12-05,피스타치오 가나슈 도넛,3.9896969954673818,4
2025-12-05,핑크 스프링클 도넛,3.6103334622570333,4
2025-12-06,가나슈 도넛,3.83904371087431,4
2025-12-06,갈릭크림치즈 도넛,2.015230089305471,3
