날짜,상품명,예측수량,주문량_ceil
2025-10-31,27.메이플 롱존,4.943288197917653,5
2025-10-31,28.초콜렛 롱존,5.199503156103604,6
2025-10-31,31.애플시나몬 필링 도넛,17.967883459381444,18
2025-10-31,가나슈 도넛,18.966052067135095,19
2025-10-31,가나슈 미니도넛,13.414476978104084,14
2025-10-31,글레이즈 도넛,110.97059816947001,111
2025-10-31,글레이즈 버터밀크,10.340331655221712,11
2025-10-31,글레이즈 올드패션,20.37833631771218,21
2025-10-31,글레이즈 크론디,27.233993832965915,28
2025-10-31,글레이즈 트위스트,21.734239276598995,22
2025-10-31,누텔라 도넛,43.09912206218459,44
2025-10-31,더블 블루베리 케이크,13.250839247290415,14
2025-10-31,데블스 케이크,15.316775564511925,16
2025-10-31,딸기우유 크림 도넛,24.171915862089595,25
2025-10-31,딸기필링 도넛,33.71508682001322,34
2025-10-31,라봉 도넛,47.741553128511,48
2025-10-31,라봉도넛,28.866408168473352,29
2025-10-31,라운드 미니도넛,16.73934126690343,17
2025-10-31,라즈베리 미니도넛,14.005659876522616,15
2025-10-31,라즈베리케이크,11.073443264197019,12
2025-10-31,라즈베리필링 도넛,22.253796756397694,23
2025-10-31,랜디넛 도넛,24.099758657870392,25
2025-10-31,럭키박스,17.967883459381444,18
2025-10-31,레몬필링 도넛,19.758465065523115,20
2025-10-31,로스트 코코넛 도넛,15.159817348257501,16
2025-10-31,롤링 소시지 도넛,14.480204225638332,15
2025-10-31,망고필링도넛,17.967883459381444,18
2025-10-31,메이플 츄러스 도넛,19.933965357344164,20
2025-10-31,메이플 케이크,10.073445702031496,11
2025-10-31,메이플 크룰러,9.703397646965458,10
2025-10-31,메이플 크림 롱존,10.205180166903899,11
2025-10-31,민트초콜릿 도넛,15.494419840028337,16
2025-10-31,바닐라 케이크,8.92216637664283,9
2025-10-31,바닐라 크룰러,9.815965189637497,10
2025-10-31,밤 크림도넛,15.775210874804225,16
2025-10-31,버터크럼 도넛,54.059494156483794,55
2025-10-31,베리믹스필링도넛,20.800624029270672,21
2025-10-31,베어 클라우,10.174639370534642,11
2025-10-31,베이컨 메이플 롱존,6.6524229544987055,7
2025-10-31,베이컨메이플미니도넛,11.436238333192488,12
2025-10-31,블루베리 케이크,13.586243377055478,14
2025-10-31,블루베리 필링 도넛,19.21759056058711,20
2025-10-31,새우 아스파라거스 크론디,6.204414177879613,7
2025-10-31,슈가 도넛,23.453628141331883,24
2025-10-31,슈가 크론디,11.374519361000202,12
2025-10-31,스노우블라썸케이크,17.967883459381444,18
2025-10-31,스모어 도넛,20.06169391272199,21
2025-10-31,스프링 어니언 도넛,39.77394436179253,40
2025-10-31,스프링클 미니도넛,15.886592909028852,16
2025-10-31,스프링클 케이크,11.326545888661,12
2025-10-31,시나몬 롤,18.144478594136338,19
2025-10-31,시나몬 크럼 케이크,13.287186631093858,14
2025-10-31,시나몬롤(소),17.967883459381444,18
2025-10-31,아몬드 브리틀 도넛,37.82479746405316,38
2025-10-31,아베크 도넛,15.47497752977354,16
2025-10-31,애월 녹차 필링 도넛,52.968789210986905,53
2025-10-31,애플 프리터,44.125066146205896,45
2025-10-31,얼그레이 크림 앙 젤리 도넛,14.19253203468587,15
2025-10-31,엠앤엠 도넛,32.152837202836814,33
2025-10-31,연유 버터 크림 도넛,47.5910973085696,48
2025-10-31,연유 카스텔라 도넛,29.393603294499197,30
2025-10-31,오레오오즈도넛,21.41563360334864,22
2025-10-31,위트 앤 허니 케이크,19.276289934387616,20
2025-10-31,초코크런치스트로베리 도넛,21.249941665598033,22
2025-10-31,초콜렛 크림 롱존,14.634451623638556,15
2025-10-31,초콜릿 도넛,31.57911968850889,32
2025-10-31,초콜릿 버터밀크,8.60285838074372,9
