iter	R2	RMSE
0	0.05376208126	0.785553586
1	0.1025756637	0.7650231246
2	0.1468403895	0.7459174812
3	0.1860124105	0.7285922265
4	0.2224733305	0.7120873797
5	0.2546428437	0.6972007642
6	0.2847140833	0.6829917831
7	0.3111852534	0.6702346244
8	0.3356023041	0.6582482308
9	0.3583086088	0.6469023788
10	0.3778921957	0.6369545825
11	0.3966601886	0.6272730561
12	0.4135509089	0.618430358
13	0.4285308337	0.6104808471
14	0.4424804117	0.602983887
15	0.4549610347	0.5961964935
16	0.4664420338	0.5898837682
17	0.4770361767	0.5839981417
18	0.4865180505	0.5786796796
19	0.4950046517	0.5738776755
20	0.5043018066	0.5685704829
21	0.5127273964	0.5637176578
22	0.5204276923	0.5592457474
23	0.5278857582	0.5548801546
24	0.5339654628	0.5512958117
25	0.5402034971	0.5475937386
26	0.5459904878	0.5441368244
27	0.550950636	0.5411562573
28	0.5556590802	0.538311672
29	0.5598446471	0.5357703005
30	0.5638586026	0.5333217519
31	0.5677344377	0.5309467423
32	0.5709217962	0.5289856228
33	0.5738199953	0.5271960851
34	0.5764488213	0.5255676059
35	0.5790911689	0.5239256496
36	0.5813384383	0.5225251351
37	0.583582142	0.5211230878
38	0.5857825321	0.5197444331
39	0.5875167513	0.5186552756
40	0.589485412	0.517416101
41	0.591033062	0.5164398444
42	0.5927605278	0.5153479759
43	0.5940464944	0.5145336586
44	0.5954349932	0.513652965
45	0.5967377287	0.5128252939
46	0.5979826202	0.512033123
47	0.5992357134	0.5112344933
48	0.6002541997	0.5105844646
49	0.6012718371	0.5099341502
50	0.6022861724	0.5092851196
51	0.6033245186	0.5086198675
52	0.6042446304	0.5080296384
53	0.6051841226	0.5074262688
54	0.6059287383	0.5069475445
55	0.6066773879	0.5064657707
56	0.6074176016	0.5059889744
57	0.6081265567	0.5055318913
58	0.6087362295	0.5051384876
59	0.6096080294	0.5045754079
60	0.6102849148	0.5041377864
61	0.6108500488	0.5037721234
62	0.6116070369	0.5032819073
63	0.6123727067	0.5027855828
64	0.6128567087	0.5024715889
65	0.6133138827	0.5021748192
66	0.6138587774	0.5018208773
67	0.6144266577	0.501451739
68	0.61504119	0.5010519691
69	0.6154485579	0.5007867895
70	0.6159196479	0.5004799541
71	0.6165613394	0.5000616979
72	0.6170176199	0.4997640801
73	0.6176126523	0.4993756923
74	0.6179889873	0.4991298959
75	0.6186594754	0.4986916787
76	0.6193302157	0.4982529109
77	0.6197754446	0.497961449
78	0.6203459324	0.4975877388
79	0.6207886279	0.4972975483
80	0.6214594892	0.49685747
81	0.6219736275	0.4965199364
82	0.6222803939	0.4963184339
83	0.6225855414	0.4961179135
84	0.6229399733	0.4958849054
85	0.6233965559	0.4955845805
86	0.623679535	0.4953983548
87	0.6240693605	0.4951417
88	0.6244747691	0.4948746443
89	0.6249290113	0.494575249
90	0.6252708097	0.4943498469
91	0.6257302801	0.4940466829
92	0.6259777905	0.4938832955
93	0.626468644	0.4935591117
94	0.6269893487	0.4932149797
95	0.6275249385	0.4928607595
96	0.6280050497	0.4925430143
97	0.6284741389	0.4922323657
98	0.628768303	0.492037459
99	0.6291755155	0.4917675213
100	0.6294473393	0.4915872492
101	0.6298617631	0.4913122783
102	0.6303901423	0.4909614743
103	0.6307598976	0.4907158356
104	0.6310463255	0.490525469
105	0.6313778177	0.4903050593
106	0.6317233719	0.4900751943
107	0.6320096193	0.4898846989
108	0.6323303966	0.489671136
109	0.632647196	0.48946013
110	0.6329027492	0.4892898512
111	0.6332886903	0.4890325805
112	0.6336990365	0.4887588926
113	0.6340865517	0.4885002916
114	0.6344171987	0.4882795322
115	0.6347144782	0.4880809657
116	0.635042499	0.4878617719
117	0.6352227734	0.4877412649
118	0.6354314237	0.4876017524
119	0.6355146258	0.4875461089
120	0.6358434849	0.4873261135
121	0.6362156642	0.4870770186
122	0.6365527039	0.4868513323
123	0.6367473957	0.4867209163
124	0.6371179571	0.486472596
125	0.6375085099	0.4862107418
126	0.6379308268	0.4859274319
127	0.6382417857	0.4857187205
128	0.638428484	0.485593368
129	0.6386319178	0.4854567422
130	0.6387775332	0.4853589236
131	0.6391476618	0.4851101969
132	0.6396111054	0.4847985827
133	0.6400259211	0.4845194953
134	0.6403301924	0.4843146799
135	0.6406386254	0.4841069745
136	0.6410376196	0.4838381511
137	0.6412203583	0.4837149805
138	0.6415735329	0.4834768428
139	0.6420595458	0.4831489434
140	0.6422692721	0.483007378
141	0.6424343882	0.4828958955
142	0.6426967748	0.4827186851
143	0.6428362966	0.4826244285
144	0.6431144454	0.482436465
145	0.6434855681	0.4821855586
146	0.6437115203	0.4820327343
147	0.6438926361	0.4819102004
148	0.6441306009	0.4817491579
149	0.6444976959	0.481500621
150	0.6446983046	0.4813647473
151	0.6447976765	0.4812974277
152	0.6450869697	0.4811013924
153	0.6452091914	0.4810185466
154	0.6453808453	0.4809021701
155	0.6454577888	0.4808499953
156	0.6457368506	0.4806607185
157	0.6461067782	0.4804096959
158	0.6463365945	0.4802536828
159	0.6465803519	0.4800881503
160	0.6468492314	0.4799054916
161	0.6470351343	0.4797791608
162	0.6471578859	0.4796957265
163	0.6473475822	0.4795667612
164	0.6476460675	0.4793637654
165	0.6478938319	0.4791951989
166	0.6481280667	0.4790357827
167	0.6484067577	0.4788460412
168	0.6486366852	0.4786894428
169	0.6489714307	0.4784613636
170	0.6491311035	0.4783525321
171	0.6492331126	0.4782829907
172	0.6495805066	0.47804609
173	0.6499452535	0.4777972294
174	0.6502860181	0.4775646143
175	0.6506183561	0.4773376422
176	0.651042709	0.4770476712
177	0.6513664267	0.476826348
178	0.6514979072	0.4767364266
179	0.6516923226	0.4766034319
180	0.6520170398	0.4763812184
181	0.6521240089	0.4763079935
182	0.6524800272	0.4760642029
183	0.6525434669	0.4760207482
184	0.6526447158	0.4759513869
185	0.6528334312	0.475822079
186	0.6530641166	0.4756639655
187	0.6532473927	0.4755383092
188	0.6534512698	0.4753984896
189	0.6535980685	0.4752977891
190	0.6539388909	0.4750639105
191	0.6541637779	0.4749095258
192	0.6543115915	0.4748080247
193	0.6545845399	0.4746205383
194	0.6547600997	0.4744999084
195	0.6549050609	0.4744002801
196	0.6552208777	0.4741831546
197	0.6553183314	0.4741161346
198	0.6554698322	0.474011927
199	0.6557125525	0.4738449278
200	0.6558137922	0.4737752543
201	0.6559846467	0.4736576483
202	0.6561418979	0.4735493802
203	0.6562625173	0.4734663165
204	0.6564835547	0.4733140629
205	0.6566884751	0.473172867
206	0.656996028	0.4729608755
207	0.6570775504	0.4729046674
208	0.6573707418	0.4727024624
209	0.6575245505	0.4725963508
210	0.6578026825	0.4724044088
211	0.6580037767	0.4722655828
212	0.658098429	0.4722002252
213	0.658250776	0.4720950102
214	0.6583378004	0.4720348983
215	0.6585768819	0.4718697139
216	0.6588029104	0.4717134947
217	0.6590562334	0.4715383495
218	0.6591734534	0.4714572826
219	0.6594033083	0.4712982794
220	0.6595974702	0.4711639252
221	0.6598774541	0.4709701172
222	0.6602171189	0.4707348903
223	0.6603331094	0.4706545369
224	0.660360142	0.4706358079
225	0.6604662907	0.4705622575
226	0.6607154713	0.4703895552
227	0.66095249	0.4702252232
228	0.6612491508	0.4700194587
229	0.6613186076	0.4699712703
230	0.6616927357	0.4697116191
231	0.6619965858	0.4695006363
232	0.6621285607	0.4694089681
233	0.6622899625	0.469296836
234	0.6623977673	0.4692219248
235	0.6626745527	0.469029538
236	0.6628752172	0.4688900117
237	0.6631756697	0.4686810229
238	0.6634211799	0.4685101818
239	0.6637321054	0.468293731
240	0.6638806631	0.4681902774
241	0.6640298367	0.4680863718
242	0.6641979923	0.4679692167
243	0.664406101	0.4678241855
244	0.6644705886	0.4677792349
245	0.664625755	0.4676710595
246	0.6648354306	0.4675248429
247	0.6650908493	0.4673466657
248	0.6651631442	0.4672962213
249	0.6653958093	0.4671338402
250	0.665483609	0.4670725485
251	0.6656643846	0.4669463263
252	0.6659730654	0.4667307187
253	0.6660495621	0.4666772718
254	0.6662824538	0.4665145168
255	0.6664687702	0.4663842697
256	0.6666812404	0.4662356951
257	0.667054523	0.4659745541
258	0.6672959444	0.4658055825
259	0.6675341649	0.4656387912
260	0.6676993441	0.465523105
261	0.6679394066	0.4653549218
262	0.6681437066	0.4652117451
263	0.6683906418	0.4650386302
264	0.6685643327	0.4649168249
265	0.6686966312	0.4648240257
266	0.66888676	0.4646906296
267	0.6690110056	0.4646034372
268	0.6692755	0.4644177669
269	0.6694694433	0.4642815751
270	0.6695628029	0.4642160015
271	0.6697380777	0.4640928674
272	0.6699954818	0.4639119766
273	0.6701161045	0.4638271847
274	0.6703663996	0.4636511899
275	0.6705737952	0.4635053092
276	0.6708398686	0.4633180877
277	0.6709690082	0.4632271919
278	0.6710920641	0.4631405615
279	0.671273674	0.4630126799
280	0.6713820879	0.4629363228
281	0.6715973993	0.4627846393
282	0.6717641374	0.4626671409
283	0.6719276316	0.4625518993
284	0.6721481935	0.4623963872
285	0.6722406	0.4623312183
286	0.6724440975	0.4621876712
287	0.6726920075	0.4620127352
288	0.6729413851	0.4618366967
289	0.6731046748	0.4617213924
290	0.6732082751	0.4616482217
291	0.6732905498	0.4615901046
292	0.6734797175	0.4614564529
293	0.6737160004	0.4612894587
294	0.6739285955	0.4611391542
295	0.6740124284	0.4610798711
296	0.6741699078	0.4609684874
297	0.6743141494	0.4608664432
298	0.6744512561	0.4607694256
299	0.674584928	0.4606748187
300	0.6748014806	0.4605215116
301	0.6750382692	0.46035382
302	0.6752384799	0.4602119849
303	0.6753264731	0.4601496341
304	0.6755853385	0.4599661566
305	0.6758193156	0.4598002563
306	0.6760093016	0.4596655037
307	0.6761339945	0.4595770404
308	0.6762922524	0.45946474
309	0.6764775779	0.4593331974
310	0.6766245626	0.459228842
311	0.6767504902	0.4591394178
312	0.6768271965	0.4590849382
313	0.6769814891	0.4589753345
314	0.6771022024	0.4588895661
315	0.67728277	0.4587612403
316	0.6773920049	0.4586835919
317	0.6774987329	0.4586077128
318	0.6777072449	0.4584594332
319	0.6780333923	0.4582274032
320	0.6781832815	0.4581207286
321	0.6783789839	0.4579814118
322	0.6786823304	0.4577653814
323	0.6788588167	0.4576396484
324	0.678918726	0.4575969598
325	0.6790575217	0.4574980451
326	0.6791544651	0.4574289443
327	0.679391689	0.4572598081
328	0.6794790504	0.4571975053
329	0.679541231	0.4571531554
330	0.6796460137	0.4570784099
331	0.6798510212	0.456932135
332	0.6799171264	0.4568849583
333	0.6800794026	0.4567691274
334	0.6801917448	0.4566889217
335	0.6802680377	0.456634445
336	0.6804364743	0.4565141504
337	0.6805620153	0.4564244704
338	0.6807739362	0.4562730452
339	0.6808849624	0.4561936928
340	0.6809868826	0.4561208365
341	0.6811034555	0.4560374917
342	0.6812200273	0.4559541325
343	0.681283062	0.4559090506
344	0.6815504291	0.4557177827
345	0.6815841344	0.4556936651
346	0.6818061131	0.4555347975
347	0.6819044907	0.4554643721
348	0.6821094975	0.4553175791
349	0.6823106695	0.455173486
350	0.6824104078	0.4551020298
351	0.6825626792	0.4549929151
352	0.6826880668	0.4549030453
353	0.6828861164	0.4547610597
354	0.6829884494	0.4546876779
355	0.6832101526	0.4545286562
356	0.6832620455	0.4544914269
357	0.6833292348	0.454443219
358	0.6835873967	0.4542579416
359	0.6837985304	0.4541063592
360	0.6840008741	0.45396104
361	0.6841428045	0.4538590807
362	0.6842514893	0.4537809887
363	0.68434345	0.4537149028
364	0.6845308409	0.4535802079
365	0.6847192284	0.4534447563
366	0.6849269184	0.4532953792
367	0.6851298837	0.4531493527
368	0.6852099986	0.4530916998
369	0.685281893	0.4530399564
370	0.685301185	0.4530260707
371	0.6855216848	0.4528673321
372	0.6856791547	0.452753935
373	0.6859030521	0.4525926532
374	0.6860178961	0.4525099043
375	0.6862077023	0.4523731096
376	0.6865517108	0.4521250747
377	0.6866684995	0.4520408375
378	0.6867922265	0.4519515787
379	0.6868797937	0.4518883956
380	0.6870533193	0.451763164
381	0.6872156064	0.4516460118
382	0.6874687658	0.4514631996
383	0.6876325841	0.4513448632
384	0.6877859831	0.4512340252
385	0.6878575146	0.4511823311
386	0.688049731	0.4510433913
387	0.688250571	0.4508981724
388	0.688374214	0.4508087482
389	0.6884539328	0.4507510825
390	0.6885350735	0.4506923806
391	0.6887207543	0.4505580198
392	0.6887778624	0.4505166876
393	0.6888781715	0.4504440793
394	0.6889388419	0.4504001577
395	0.6891211356	0.4502681625
396	0.6892108997	0.450203152
397	0.6892571081	0.4501696824
398	0.6893216217	0.4501229499
399	0.6893512542	0.4501014831
400	0.6895939512	0.4499256259
401	0.6896703191	0.4498702758
402	0.6898516689	0.4497388095
403	0.6899843976	0.4496425658
404	0.6901472295	0.4495244657
405	0.6902013663	0.449485194
406	0.6903670409	0.4493649897
407	0.6904366545	0.4493144724
408	0.6904867317	0.4492781288
409	0.6906558063	0.4491554008
410	0.6907776691	0.449066922
411	0.690824544	0.4490328838
412	0.6910068036	0.4489005114
413	0.6910830467	0.4488451255
414	0.6911287319	0.4488119349
415	0.6912773016	0.4487039807
416	0.6914061347	0.4486103466
417	0.6914963331	0.44854478
418	0.6915490541	0.4485064519
419	0.6916539549	0.4484301793
420	0.6917473538	0.4483622588
421	0.6918486848	0.4482885583
422	0.6919886082	0.4481867687
423	0.6921312012	0.4480830133
424	0.6923476246	0.4479254905
425	0.6924387671	0.4478591363
426	0.6924788148	0.4478299774
427	0.6926753593	0.4476868448
428	0.6928475388	0.4475614184
429	0.6929441121	0.4474910528
430	0.6931305507	0.4473551781
431	0.6932669383	0.447255754
432	0.6933086498	0.4472253425
433	0.6934860311	0.4470959929
434	0.6935390228	0.4470573431
435	0.6936699596	0.4469618292
436	0.6939025035	0.4467921463
437	0.6939788422	0.4467364293
438	0.6941438953	0.446615939
439	0.6942251962	0.4465565766
440	0.6943947278	0.4464327666
441	0.6945338671	0.4463311267
442	0.6946859866	0.4462199783
443	0.6948310583	0.4461139537
444	0.6948947002	0.4460674335
445	0.6949465558	0.4460295252
446	0.6949853193	0.4460011855
447	0.6951599587	0.4458734859
448	0.6952803954	0.445785399
449	0.6954098235	0.4456907164
450	0.695483045	0.4456371426
451	0.6956188919	0.4455377308
452	0.6956915595	0.445484544
453	0.6957780881	0.4454212039
454	0.69594376	0.4452999045
455	0.6960686491	0.4452084431
456	0.6962753473	0.4450570283
457	0.696371438	0.4449866204
458	0.6964635692	0.4449191032
459	0.6965620323	0.4448469345
460	0.6966631102	0.4447728371
461	0.6968724468	0.4446193389
462	0.6970512274	0.4444882043
463	0.6971864306	0.4443890078
464	0.6972491404	0.4443429911
465	0.6973606414	0.4442611594
466	0.6975384515	0.4441306315
467	0.6976002031	0.4440852915
468	0.697680562	0.4440262826
469	0.6977752187	0.4439567645
470	0.6978208568	0.4439232429
471	0.698022629	0.4437750091
472	0.6982125998	0.4436354001
473	0.6983371812	0.4435438216
474	0.6984792884	0.4434393371
475	0.6985982458	0.4433518546
476	0.6987760754	0.4432210446
477	0.6988894657	0.4431376155
478	0.6989862263	0.4430664096
479	0.6991295809	0.4429608942
480	0.6991655793	0.4429343938
481	0.6992950075	0.4428391015
482	0.6994571338	0.4427197062
483	0.6996099183	0.442607161
484	0.6996693813	0.4425633512
485	0.6998001553	0.4424669873
486	0.6999047202	0.4423899211
487	0.7000865063	0.4422559094
488	0.7001605513	0.4422013122
489	0.7004188706	0.4420107874
490	0.700560634	0.441906194
491	0.7007224093	0.4417868057
492	0.7007781035	0.4417456965
493	0.7008629207	0.4416830836
494	0.7010192615	0.4415676481
495	0.7010754344	0.4415261649
496	0.7012806121	0.4413746102
497	0.701343529	0.4413281261
498	0.7014076789	0.4412807261
499	0.7016142182	0.4411280805
500	0.7016611776	0.4410933671
501	0.7017762195	0.4410083143
502	0.7018122419	0.4409816789
503	0.701924623	0.4408985724
504	0.7022270139	0.4406748747
505	0.7024000894	0.4405467887
506	0.702515857	0.4404610931
507	0.7026520793	0.4403602348
508	0.7027666311	0.4402754033
509	0.7028765235	0.4401940071
510	0.7030112499	0.4400941959
511	0.7030712778	0.4400497173
512	0.7030921071	0.4400342825
513	0.7032668559	0.4399047696
514	0.7032970821	0.439882364
515	0.7033510582	0.4398423505
516	0.703474728	0.4397506582
517	0.7035513662	0.4396938268
518	0.7036532173	0.4396182874
519	0.7037322261	0.4395596802
520	0.7038297961	0.4394872941
521	0.7039442962	0.4394023325
522	0.7040406902	0.4393307932
523	0.7041270213	0.4392667124
524	0.7041737954	0.4392319895
525	0.7041911677	0.4392190924
526	0.7042651482	0.4391641656
527	0.704348347	0.4391023864
528	0.7043989071	0.4390648389
529	0.7045018461	0.4389883831
530	0.7045849226	0.43892667
531	0.7046745316	0.4388600946
532	0.704696093	0.438844074
533	0.7047796885	0.4387819549
534	0.7048749947	0.438711123
535	0.7049879963	0.4386271251
536	0.7053270291	0.4383750138
537	0.7053996529	0.4383209904
538	0.7054897712	0.4382539441
539	0.7056065878	0.4381670194
540	0.7056697318	0.438120026
541	0.7057725714	0.4380434792
542	0.7057886522	0.4380315086
543	0.7058637283	0.4379756172
544	0.7059963961	0.4378768333
545	0.7061482174	0.4377637606
546	0.7062409091	0.4376947117
547	0.70628388	0.4376626977
548	0.7063521173	0.4376118549
549	0.7063848906	0.4375874339
550	0.7064485378	0.4375400032
551	0.7064909224	0.4375084148
552	0.7067358645	0.4373258198
553	0.7067577199	0.4373095238
554	0.7069307751	0.4371804669
555	0.7069809652	0.4371430302
556	0.7070895606	0.4370620182
557	0.7071750198	0.4369982552
558	0.7072319691	0.4369557589
559	0.7072923578	0.4369106915
560	0.7073437872	0.4368723067
561	0.7075319908	0.4367318105
562	0.7076039215	0.4366781015
563	0.7077066477	0.4366013867
564	0.7077382415	0.4365777901
565	0.7078184052	0.4365179121
566	0.7078558502	0.4364899399
567	0.7079283624	0.4364357666
568	0.7079659608	0.4364076745
569	0.7080516874	0.4363436161
570	0.7081099931	0.4363000423
571	0.7083972938	0.4360852693
572	0.70852083	0.4359928867
573	0.7085870748	0.4359433396
574	0.7086942268	0.4358631844
575	0.7087736646	0.4358037514
576	0.7088633231	0.4357366618
577	0.7089736067	0.4356541247
578	0.7090511296	0.4355960966
579	0.7090970674	0.4355617072
580	0.7091734921	0.435504489
581	0.7092116909	0.4354758873
582	0.7093021122	0.4354081759
583	0.7093566981	0.4353672946
584	0.7096531352	0.4351452148
585	0.7097812989	0.4350491642
586	0.7098717063	0.4349813969
587	0.7100136275	0.4348749946
588	0.710028056	0.4348641757
589	0.7101289037	0.4347885496
590	0.7103149775	0.4346489776
591	0.7104391338	0.4345558245
592	0.7106219818	0.434418599
593	0.7107254776	0.4343409074
594	0.7107605599	0.4343145688
595	0.7107871929	0.4342945727
596	0.7109399867	0.4341798365
597	0.710968068	0.4341587465
598	0.7111322725	0.434035402
599	0.7111657021	0.4340102866
600	0.7112644962	0.4339360549
601	0.7113163588	0.4338970814
602	0.711380123	0.4338491594
603	0.7114217746	0.4338178532
604	0.7114992351	0.4337596263
605	0.7115033974	0.4337564974
606	0.711607567	0.4336781804
607	0.7117403876	0.4335783026
608	0.7118231461	0.4335160586
609	0.7118751899	0.4334769111
610	0.7119597932	0.4334132645
611	0.7119699059	0.4334056562
612	0.7120831375	0.4333204567
613	0.7121548735	0.4332664713
614	0.7122733393	0.4331773044
615	0.7124406419	0.4330513476
616	0.7125090068	0.4329998674
617	0.7125684007	0.4329551374
618	0.7126308002	0.432908139
619	0.7127333221	0.43283091
620	0.7128024184	0.4327788524
621	0.7128215926	0.4327644053
622	0.7128852958	0.4327164038
623	0.7130052845	0.4326259756
624	0.7131025198	0.4325526814
625	0.7131580073	0.4325108504
626	0.7131744066	0.4324984865
627	0.7132667836	0.4324288342
628	0.7133850497	0.4323396451
629	0.7135803877	0.4321922928
630	0.7136297136	0.4321550761
631	0.713686178	0.4321124694
632	0.7137890713	0.4320348177
633	0.7139713579	0.4318972152
634	0.7140455726	0.4318411803
635	0.7140942727	0.4318044059
636	0.7140999371	0.4318001284
637	0.7141385585	0.4317709621
638	0.7141745705	0.4317437646
639	0.7142665113	0.43167432
640	0.7143483132	0.4316125241
641	0.7143931213	0.4315786708
642	0.714449592	0.4315360025
643	0.7145089853	0.4314911213
644	0.7146985795	0.4313478211
645	0.7147303686	0.4313237895
646	0.7148092426	0.4312641572
647	0.7148836665	0.4312078817
648	0.7150214081	0.4311037095
649	0.7150820372	0.4310578484
650	0.7151405636	0.4310135733
651	0.715260844	0.4309225671
652	0.7154350271	0.4307907431
653	0.7154650452	0.430768021
654	0.7154710312	0.4307634897
655	0.7155946138	0.4306699304
656	0.7156678468	0.4306144791
657	0.7156729127	0.430610643
658	0.7158166966	0.4305017496
659	0.7159277539	0.4304176225
660	0.7159857907	0.4303736525
661	0.7161852543	0.4302224999
662	0.7162594652	0.4301662496
663	0.7163159035	0.4301234658
664	0.7164180611	0.4300460128
665	0.7165132185	0.4299738546
666	0.7165536264	0.4299432096
667	0.7166531499	0.4298677222
668	0.7167203632	0.4298167343
669	0.7168029554	0.4297540717
670	0.7168577402	0.4297125014
671	0.7169233402	0.4296627195
672	0.716980547	0.4296193021
673	0.7170918444	0.4295348199
674	0.717147659	0.4294924466
675	0.7172609462	0.4294064285
676	0.7174184399	0.429286816
677	0.717564849	0.4291755921
678	0.7176258254	0.4291292612
679	0.7176904702	0.4290801374
680	0.7177221229	0.4290560823
681	0.7178533531	0.4289563373
682	0.7179013064	0.4289198833
683	0.7180042941	0.4288415818
684	0.7180775873	0.4287858483
685	0.7182126483	0.4286831264
686	0.7183334386	0.4285912375
687	0.7184014769	0.4285394699
688	0.7184750689	0.4284834697
689	0.7186392889	0.4283584793
690	0.718770705	0.4282584302
691	0.7187974349	0.4282380775
692	0.7189271645	0.4281392847
693	0.7189968195	0.428086231
694	0.7191399181	0.4279772174
695	0.7192151249	0.4279199132
696	0.7192850675	0.4278666131
697	0.7193489081	0.4278179573
698	0.7193553413	0.427813054
699	0.7193838981	0.4277912875
700	0.7194385633	0.4277496177
701	0.7195055224	0.4276985711
702	0.7196550322	0.4275845694
703	0.7196989826	0.4275510514
704	0.7197826987	0.4274871993
705	0.7198089802	0.4274671519
706	0.7198781665	0.4274143724
707	0.7199699527	0.4273443423
708	0.7200360087	0.4272939364
709	0.7200990205	0.4272458479
710	0.720102546	0.4272431572
711	0.7201650327	0.4271954638
712	0.720294354	0.4270967416
713	0.7203297037	0.4270697521
714	0.7204276251	0.4269949803
715	0.7204956966	0.4269429938
716	0.7205840156	0.4268755348
717	0.720626468	0.4268431054
718	0.7207415983	0.426755145
719	0.7208168889	0.4266976125
720	0.720841986	0.4266784332
721	0.7208962148	0.4266369883
722	0.7209729515	0.4265783345
723	0.72101608	0.4265453657
724	0.7210691161	0.4265048196
725	0.7211058665	0.4264767217
726	0.7211756916	0.4264233312
727	0.7212610203	0.4263580769
728	0.721315744	0.4263162223
729	0.7213757879	0.4262702939
730	0.7214840582	0.4261874639
731	0.7215745315	0.4261182367
732	0.7216616345	0.4260515778
733	0.7217161916	0.4260098206
734	0.7218020186	0.4259441215
735	0.7218826719	0.4258823736
736	0.7219686874	0.4258165105
737	0.7220287624	0.4257705043
738	0.7222255271	0.4256197847
739	0.7222636888	0.4255905471
740	0.7223764098	0.4255041741
741	0.7225760431	0.425351161
742	0.722715298	0.4252443936
743	0.7227746136	0.4251989079
744	0.722805519	0.4251752064
745	0.722894933	0.425106627
746	0.7229661857	0.4250519691
747	0.7231277583	0.4249280009
748	0.7231690185	0.4248963378
749	0.7232478664	0.4248358234
750	0.7232802178	0.4248109916
751	0.7233749634	0.4247382603
752	0.7234210725	0.4247028602
753	0.7234990353	0.4246429978
754	0.7236460325	0.4245301055
755	0.7237448366	0.4244542082
756	0.7238250161	0.4243926075
757	0.7238960321	0.4243380396
758	0.7239238072	0.4243166956
759	0.7239714264	0.4242800998
760	0.7240851051	0.4241927236
761	0.7242127757	0.4240945716
762	0.7242536962	0.4240631075
763	0.7242790853	0.4240435845
