iter	Passed	Remaining
0	72	363290
1	84	211437
2	95	159469
3	105	131843
4	115	115733
5	126	104907
6	140	100058
7	150	93867
8	160	89087
9	171	85353
10	182	82729
11	195	81380
12	207	79710
13	220	78429
14	232	77344
15	243	75898
16	255	74952
17	271	75205
18	284	74653
19	296	73755
20	309	73339
21	322	72863
22	334	72430
23	347	72092
24	360	71736
25	373	71543
26	387	71352
27	401	71337
28	416	71368
29	429	71229
30	446	71525
31	460	71468
32	474	71352
33	486	71019
34	499	70874
35	513	70812
36	526	70675
37	538	70255
38	557	70860
39	572	70989
40	586	70895
41	601	70997
42	618	71248
43	633	71339
44	648	71395
45	670	72175
46	686	72359
47	703	72610
48	721	72887
49	739	73163
50	756	73364
51	773	73648
52	790	73827
53	806	73885
54	825	74256
55	843	74448
56	862	74832
57	879	74935
58	895	75019
59	909	74842
60	927	75076
61	942	75096
62	960	75275
63	976	75322
64	992	75389
65	1012	75669
66	1025	75507
67	1040	75438
68	1056	75526
69	1072	75550
70	1088	75559
71	1105	75631
72	1123	75832
73	1138	75809
74	1158	76082
75	1182	76587
76	1201	76831
77	1218	76901
78	1237	77102
79	1255	77212
80	1277	77564
81	1299	77961
82	1318	78083
83	1340	78445
84	1356	78451
85	1374	78549
86	1392	78642
87	1409	78650
88	1430	78912
89	1450	79150
90	1471	79379
91	1494	79747
92	1511	79748
93	1530	79881
94	1552	80166
95	1570	80228
96	1591	80459
97	1612	80654
98	1627	80590
99	1644	80602
100	1663	80704
101	1685	80914
102	1706	81149
103	1725	81217
104	1741	81206
105	1753	80971
106	1769	80935
107	1789	81067
108	1808	81165
109	1827	81235
110	1846	81321
111	1866	81439
112	1888	81692
113	1908	81808
114	1926	81827
115	1947	81997
116	1961	81870
117	1976	81768
118	1996	81903
119	2015	81951
120	2033	81987
121	2047	81875
122	2067	81994
123	2083	81912
124	2100	81924
125	2117	81892
126	2136	81987
127	2155	82031
128	2177	82213
129	2199	82413
130	2219	82500
131	2239	82582
132	2260	82724
133	2277	82713
134	2300	82889
135	2314	82794
136	2333	82840
137	2349	82777
138	2370	82885
139	2393	83083
140	2409	83023
141	2422	82892
142	2440	82879
143	2454	82774
144	2472	82775
145	2492	82855
146	2506	82755
147	2524	82757
148	2540	82727
149	2559	82750
150	2574	82663
151	2592	82680
152	2612	82773
153	2629	82741
154	2645	82689
155	2662	82672
156	2681	82710
157	2698	82688
158	2718	82754
159	2734	82712
160	2757	82866
161	2777	82948
162	2790	82795
163	2808	82805
164	2822	82714
165	2845	82858
166	2862	82845
167	2882	82914
168	2899	82872
169	2916	82851
170	2936	82911
171	2951	82853
172	2973	82962
173	2992	82995
