순번,상품명,상품코드,수량,일자
1,연유 버터 크림 도넛,051BE6,82,2025-10-10
2,글레이즈 도넛,00C686,113,2025-10-10
3,애플 프리터,00C6A3,65,2025-10-10
4,버터크럼 도넛,00C691,57,2025-10-10
5,피스타치오 가나슈 도넛,0448DD,47,2025-10-10
6,텍사스 글레이즈 도넛,00C63D,49,2025-10-10
7,블루베리 필링 도넛,011FC1,47,2025-10-10
8,가나슈 도넛,00C642,48,2025-10-10
9,아몬드 브리틀 도넛,02C041,45,2025-10-10
10,누텔라 도넛,00C641,47,2025-10-10
11,커피크럼 도넛,019B66,45,2025-10-10
12,초코크런치스트로베리 도넛,01C27D,35,2025-10-10
13,애월 녹차 필링 도넛,01F4E5,34,2025-10-10
14,초콜릿 도넛,00C687,48,2025-10-10
15,스모어 도넛,00C645,35,2025-10-10
16,딸기필링 도넛,00C9D4,35,2025-10-10
17,핑크 스프링클 도넛,00C692,46,2025-10-10
18,글레이즈 크론디,00C6A6,39,2025-10-10
19,스프링 어니언 도넛,01F4E2,27,2025-10-10
20,크림사탕도넛,01C27E,24,2025-10-10
21,레몬필링 도넛,00C6AA,23,2025-10-10
22,코코넛 도넛,00C6AE,24,2025-10-10
23,초콜릿 코코넛 도넛,00C6AD,22,2025-10-10
24,초콜릿 크론디,00C6A8,20,2025-10-10
25,초콜릿 올드패션,00C69E,24,2025-10-10
26,슈가 도넛,00C688,23,2025-10-10
27,카라멜 코코넛 도넛,00C646,17,2025-10-10
28,글레이즈 올드패션,00C69D,23,2025-10-10
29,로스트 코코넛 도넛,00C6AF,16,2025-10-10
1,글레이즈 도넛,00C686,208,2025-10-11
2,애플 프리터,00C6A3,115,2025-10-11
3,버터크럼 도넛,00C691,118,2025-10-11
4,누텔라 도넛,00C641,114,2025-10-11
5,연유 버터 크림 도넛,051BE6,95,2025-10-11
6,텍사스 글레이즈 도넛,00C63D,98,2025-10-11
7,피스타치오 가나슈 도넛,0448DD,84,2025-10-11
8,아몬드 브리틀 도넛,02C041,76,2025-10-11
9,가나슈 도넛,00C642,72,2025-10-11
10,커피크럼 도넛,019B66,67,2025-10-11
11,초콜릿 도넛,00C687,72,2025-10-11
12,핑크 스프링클 도넛,00C692,71,2025-10-11
13,글레이즈 크론디,00C6A6,60,2025-10-11
14,애월 녹차 필링 도넛,01F4E5,48,2025-10-11
15,스프링 어니언 도넛,01F4E2,48,2025-10-11
16,딸기필링 도넛,00C9D4,48,2025-10-11
17,스모어 도넛,00C645,47,2025-10-11
18,초코크런치스트로베리 도넛,01C27D,42,2025-10-11
19,크림사탕도넛,01C27E,36,2025-10-11
20,초콜릿 크론디,00C6A8,37,2025-10-11
21,초콜릿 코코넛 도넛,00C6AD,32,2025-10-11
22,블루베리 필링 도넛,011FC1,30,2025-10-11
23,레몬필링 도넛,00C6AA,28,2025-10-11
24,글레이즈 올드패션,00C69D,38,2025-10-11
25,초콜릿 올드패션,00C69E,33,2025-10-11
26,카라멜 코코넛 도넛,00C646,24,2025-10-11
27,로스트 코코넛 도넛,00C6AF,23,2025-10-11
28,코코넛 도넛,00C6AE,24,2025-10-11
29,슈가 도넛,00C688,24,2025-10-11
30,슈가 크론디,00C6A7,1,2025-10-11
1,글레이즈 도넛,00C686,159,2025-10-12
2,애플 프리터,00C6A3,110,2025-10-12
3,연유 버터 크림 도넛,051BE6,83,2025-10-12
4,피스타치오 가나슈 도넛,0448DD,79,2025-10-12
5,버터크럼 도넛,00C691,89,2025-10-12
6,누텔라 도넛,00C641,70,2025-10-12
7,텍사스 글레이즈 도넛,00C63D,61,2025-10-12
8,애월 녹차 필링 도넛,01F4E5,47,2025-10-12
9,스프링 어니언 도넛,01F4E2,46,2025-10-12
10,딸기필링 도넛,00C9D4,49,2025-10-12
11,가나슈 도넛,00C642,48,2025-10-12
12,글레이즈 크론디,00C6A6,52,2025-10-12
13,초코크런치스트로베리 도넛,01C27D,40,2025-10-12
14,커피크럼 도넛,019B66,47,2025-10-12
15,초콜릿 도넛,00C687,54,2025-10-12
16,블루베리 필링 도넛,011FC1,39,2025-10-12
17,아몬드 브리틀 도넛,02C041,36,2025-10-12
18,핑크 스프링클 도넛,00C692,48,2025-10-12
19,스모어 도넛,00C645,35,2025-10-12
20,레몬필링 도넛,00C6AA,34,2025-10-12
21,초콜릿 올드패션,00C69E,40,2025-10-12
22,초콜릿 크론디,00C6A8,27,2025-10-12
23,슈가 도넛,00C688,35,2025-10-12
24,카라멜 코코넛 도넛,00C646,26,2025-10-12
25,크림사탕도넛,01C27E,24,2025-10-12
26,초콜릿 코코넛 도넛,00C6AD,23,2025-10-12
27,로스트 코코넛 도넛,00C6AF,22,2025-10-12
28,글레이즈 올드패션,00C69D,29,2025-10-12
29,코코넛 도넛,00C6AE,22,2025-10-12
1,피스타치오 가나슈 도넛,0448DD,48,2025-10-13
2,애플 프리터,00C6A3,49,2025-10-13
3,연유 버터 크림 도넛,051BE6,40,2025-10-13
4,버터크럼 도넛,00C691,42,2025-10-13
5,글레이즈 도넛,00C686,50,2025-10-13
6,누텔라 도넛,00C641,35,2025-10-13
7,커피크럼 도넛,019B66,27,2025-10-13
8,텍사스 글레이즈 도넛,00C63D,23,2025-10-13
9,글레이즈 크론디,00C6A6,26,2025-10-13
