date,store_id,sku,quantity,price,is_promo,is_weekend,is_holiday,temperature
2023-01-01,A매장,SKU_01,38,3.94,0,1,0,16.8
2023-01-02,A매장,SKU_01,23,4.31,0,0,0,14.0
2023-01-03,A매장,SKU_01,27,4.32,0,0,1,16.3
2023-01-04,A매장,SKU_01,26,4.22,0,0,0,18.2
2023-01-05,A매장,SKU_01,32,3.0,0,0,0,19.4
2023-01-06,A매장,SKU_01,28,4.66,0,0,0,21.0
2023-01-07,A매장,SKU_01,37,4.63,0,1,1,19.7
2023-01-08,A매장,SKU_01,62,3.51,1,1,0,18.0
2023-01-09,A매장,SKU_01,33,2.65,0,0,0,22.6
2023-01-10,A매장,SKU_01,24,4.26,0,0,0,20.8
2023-01-11,A매장,SKU_01,29,3.42,0,0,1,23.3
2023-01-12,A매장,SKU_01,26,1.91,0,0,0,22.7
2023-01-13,A매장,SKU_01,26,1.85,0,0,0,22.9
2023-01-14,A매장,SKU_01,40,4.38,0,1,0,21.9
2023-01-15,A매장,SKU_01,31,4.95,0,1,0,20.3
2023-01-16,A매장,SKU_01,28,4.82,0,0,0,22.2
2023-01-17,A매장,SKU_01,30,3.45,0,0,0,25.6
2023-01-18,A매장,SKU_01,29,3.22,0,0,0,24.2
2023-01-19,A매장,SKU_01,27,1.92,0,0,0,25.1
2023-01-20,A매장,SKU_01,32,3.54,0,0,0,24.4
2023-01-21,A매장,SKU_01,41,4.54,0,1,0,25.3
2023-01-22,A매장,SKU_01,42,3.44,0,1,0,25.0
2023-01-23,A매장,SKU_01,29,3.94,0,0,0,29.3
2023-01-24,A매장,SKU_01,29,4.65,0,0,0,29.4
2023-01-25,A매장,SKU_01,25,2.16,0,0,0,20.7
2023-01-26,A매장,SKU_01,40,1.77,0,0,0,25.6
2023-01-27,A매장,SKU_01,31,4.35,0,0,0,23.0
2023-01-28,A매장,SKU_01,63,4.38,1,1,0,21.9
2023-01-29,A매장,SKU_01,54,4.53,1,1,0,26.7
2023-01-30,A매장,SKU_01,50,2.03,1,0,0,20.7
2023-01-31,A매장,SKU_01,51,4.45,1,0,0,23.5
2023-02-01,A매장,SKU_01,30,2.46,0,0,0,23.4
2023-02-02,A매장,SKU_01,32,4.81,0,0,0,22.1
2023-02-03,A매장,SKU_01,32,1.95,0,0,0,22.8
2023-02-04,A매장,SKU_01,44,3.85,0,1,0,19.1
2023-02-05,A매장,SKU_01,41,3.85,0,1,0,24.7
2023-02-06,A매장,SKU_01,40,4.48,0,0,0,25.2
2023-02-07,A매장,SKU_01,36,2.91,0,0,0,21.8
2023-02-08,A매장,SKU_01,20,2.25,0,0,0,22.1
2023-02-09,A매장,SKU_01,31,3.03,0,0,0,18.8
2023-02-10,A매장,SKU_01,22,4.24,0,0,0,22.0
2023-02-11,A매장,SKU_01,36,4.82,0,1,0,14.7
2023-02-12,A매장,SKU_01,36,4.93,0,1,0,13.3
2023-02-13,A매장,SKU_01,22,2.34,0,0,0,17.5
2023-02-14,A매장,SKU_01,31,2.71,0,0,0,15.9
2023-02-15,A매장,SKU_01,22,2.1,0,0,0,14.3
2023-02-16,A매장,SKU_01,21,1.81,0,0,0,14.4
2023-02-17,A매장,SKU_01,27,2.77,0,0,0,17.9
2023-02-18,A매장,SKU_01,36,4.3,0,1,0,11.9
2023-02-19,A매장,SKU_01,34,4.72,0,1,0,12.4
2023-02-20,A매장,SKU_01,21,4.12,0,0,0,10.9
2023-02-21,A매장,SKU_01,30,3.2,0,0,0,8.3
2023-02-22,A매장,SKU_01,27,4.12,0,0,0,11.8
2023-02-23,A매장,SKU_01,19,3.36,0,0,0,9.8
2023-02-24,A매장,SKU_01,16,2.35,0,0,0,7.9
2023-02-25,A매장,SKU_01,28,2.63,0,1,1,7.6
2023-02-26,A매장,SKU_01,39,4.62,0,1,0,11.7
2023-02-27,A매장,SKU_01,19,3.24,0,0,0,8.0
2023-02-28,A매장,SKU_01,21,4.11,0,0,0,5.3
2023-03-01,A매장,SKU_01,33,2.77,0,0,0,8.8
2023-03-02,A매장,SKU_01,24,4.95,0,0,0,3.8
2023-03-03,A매장,SKU_01,19,2.04,0,0,0,4.9
2023-03-04,A매장,SKU_01,28,2.5,0,1,0,6.0
2023-03-05,A매장,SKU_01,27,4.94,0,1,0,5.2
2023-03-06,A매장,SKU_01,40,4.53,1,0,0,4.3
2023-03-07,A매장,SKU_01,26,3.84,0,0,0,5.4
2023-03-08,A매장,SKU_01,24,2.48,0,0,0,3.8
2023-03-09,A매장,SKU_01,20,2.99,0,0,0,1.8
2023-03-10,A매장,SKU_01,14,3.64,0,0,0,6.3
2023-03-11,A매장,SKU_01,31,3.18,0,1,0,3.7
2023-03-12,A매장,SKU_01,30,1.97,0,1,0,7.1
2023-03-13,A매장,SKU_01,29,3.89,0,0,0,6.2
2023-03-14,A매장,SKU_01,21,2.94,0,0,1,6.5
2023-03-15,A매장,SKU_01,19,4.88,0,0,0,6.3
2023-03-16,A매장,SKU_01,36,2.13,1,0,0,6.0
2023-03-17,A매장,SKU_01,20,4.45,0,0,0,6.7
2023-03-18,A매장,SKU_01,31,2.07,0,1,0,7.2
2023-03-19,A매장,SKU_01,31,3.33,0,1,1,8.5
